t,pApoER2_re_Dab1_Obs,ApoER2_re_Dab1SFK_Obs,ApoER2_Dab1_released_Obs
0,7.45695718695693e-07,9.82124577010103e-07,0.156480556908267
10,0.00438190573459801,NaN,NaN
15,NaN,NaN,0.712988746521607
20,NaN,0.000919660045340513,NaN
25,0.00123272796864449,NaN,NaN
35,NaN,NaN,0.725562488812173
40,0.000570931518099068,NaN,NaN
45,NaN,0.000885443192736324,NaN
55,0.000331552078771191,NaN,0.471918892749534
65,NaN,0.000496109790999048,NaN
70,0.000253916282905565,NaN,NaN
75,NaN,NaN,0.360595050039406
90,0.000231266981817276,NaN,NaN
95,NaN,0.000292004363062346,0.386483307731977
100,0.000202772134240861,0.000337083931751606,0.223013329884817
150,0.000122928588551099,0.000228400528615338,0.20970726229706
200,NaN,0.000267788393645107,0.194083533315576
250,NaN,0.000169879328476315,0.192809489052369
300,NaN,0.000169444150903399,0.168002134694193
350,NaN,0.000156405607899515,NaN
