t,pApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
0,1.08496913695728e-06,0.14560570893424
15,NaN,0.525321479187263
25,NaN,0.704350836107927
30,0.00045780640369831,NaN
40,NaN,0.39485466917253
55,NaN,0.502503429825882
60,0.000247029061740304,NaN
70,NaN,0.335645024382041
90,0.000239382726277815,0.350567616196419
100,NaN,0.318356715193494
150,0.00011437004822074,0.167292867291635
200,6.10099145736981e-05,0.175263160444817
250,3.2612521885378e-05,0.123166940950112
300,3.33331395050792e-05,NaN
400,1.71802642906739e-05,NaN
450,1.10883739100637e-05,NaN
