t,ApoER2_Dab1_released_Obs,SFK_Obs
0,4.39991628690512e-07,2.16413750081497e-09
4.5,3.45568300784559e-07,NaN
9.5,4.05647282791355e-07,NaN
15,3.60384397381511e-07,4.48039911614587e-09
20,4.15208792095394e-07,NaN
25,3.60059595602521e-07,NaN
30,NaN,5.74541543872539e-09
35,4.20774651863226e-07,NaN
45,2.95963302332961e-07,3.59395497708933e-09
65,NaN,3.83200304572995e-09
85,NaN,2.87621579823165e-09
100,NaN,3.67710183618741e-09
150,NaN,3.09570538775481e-09
200,NaN,3.1550431774494e-09
250,NaN,3.09397680160723e-09
300,NaN,2.62814916085456e-09
