t,Reelin_input,pApoER2_re_Dab1_Obs,ApoER2_Dab1_released_Obs
10,0,1.37223334221635e-06,0.134141763603375
10,0.00012207,1.47482263145819e-06,0.119237968318314
10,0.00024414,4.23112017857269e-06,0.201646073869961
10,0.00048828,1.81102486988803e-05,0.133563350245981
10,0.00097656,6.17541568412546e-05,0.188749418469859
10,0.0019531,0.000117241335411549,0.274013080114692
10,0.0039062,0.000349048262836995,0.489271014111624
10,0.0078125,0.000549999935320023,0.589438598537879
10,0.015625,0.000509912695138594,0.528691502973827
10,0.03125,0.000765629233414055,0.997193186147917
10,0.125,0.00161069078286684,0.887269461561789
10,0.25,0.00127960362005917,0.698154801117815
10,0.5,0.00212572906403219,1.06845670628893
10,1,0.00195566642785376,0.909865026667667
