timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0339988934429115,0.0153237077374191,6.9498536080675,0.0127425168436953
35,NaN,NaN,0.0100048634644944,NaN
75,NaN,NaN,0.00551337513043121,NaN
100,NaN,NaN,0.0175057888233182,NaN
150,NaN,NaN,0.00922433130472274,NaN
200,NaN,NaN,0.023247165279105,NaN
250,NaN,0.0819755247472804,0.015300618079999,NaN
300,NaN,NaN,NaN,9.24673656182279
350,18.9200817964325,NaN,0.0127355986800089,NaN
400,NaN,NaN,0.0153625350000567,NaN
500,NaN,0.255900583765371,NaN,NaN
600,NaN,NaN,NaN,8.54989075577527
650,11.1783273346257,NaN,NaN,NaN
800,NaN,0.452853863148091,NaN,NaN
950,NaN,NaN,NaN,13.4002381475575
1000,8.1019810240828,0.700667428515621,NaN,NaN
1500,13.7180614820338,0.299014180981163,NaN,5.24950765404329
2000,7.62596188817938,0.524013818089562,NaN,17.7631180677399
2500,8.4688761073891,0.502563623501725,NaN,4.4787499752217
3000,8.85954718027802,0.741013468634273,NaN,10.0259050222199
3500,NaN,NaN,NaN,7.92246149121078
4000,7.29579661799357,NaN,NaN,6.77680415562927
4500,20.7163412832153,NaN,NaN,6.7413465430922
5500,4.589256722087,NaN,NaN,4.95140961315605
6000,5.65100892525391,NaN,NaN,NaN
6500,NaN,NaN,NaN,4.58618757130679
7500,7.5892019191964,NaN,NaN,12.8346995543539
8500,5.54127889923969,NaN,NaN,7.76756507978404
