timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0287981495138179,0.0311108908096488,21.5611515925986,0.0184550928075505
350,NaN,0.068402382112107,NaN,NaN
400,NaN,NaN,NaN,0.790784146231612
450,2.00188146294606,NaN,6.11301844609472,NaN
750,NaN,0.255350473665847,NaN,NaN
800,NaN,NaN,NaN,3.29736474736318
900,5.15025477980245,NaN,3.61604083893232,NaN
1000,NaN,1.09929100260544,NaN,3.80736200352504
1500,8.8682327682314,1.80604998262273,1.6386636218284,4.86042996522106
2000,7.92789052301631,1.4231330721322,1.68130467228728,6.35714229161688
2500,9.03491688833694,2.51639133902596,1.45976444098426,NaN
3000,5.52363138369327,3.54400096409801,0.464702229158855,3.30816292087778
3500,NaN,NaN,NaN,3.38940719405552
4000,4.98937876001999,1.79110571372682,0.403585675270231,1.94875168302084
4500,NaN,0.833772357659148,NaN,NaN
5000,3.42932759656861,NaN,0.208270396661821,2.81056541009696
5500,NaN,1.09296169644798,NaN,NaN
6000,2.39342880270305,NaN,0.092491455439267,2.03100574510414
7000,2.92911176451827,1.25337486467813,0.155337216790035,1.5978578323311
8500,2.08566941648184,NaN,0.02944850123075,2.16401055673114
