timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0164034456647302,0.0162514882835419,4.46413008805279,0.000777992662875055
350,0.255813020955501,NaN,NaN,NaN
400,NaN,0.0646105354437356,NaN,NaN
450,NaN,NaN,NaN,0.133894142316857
500,NaN,NaN,12.0637219332881,NaN
700,0.444331402947322,NaN,NaN,NaN
800,NaN,0.104757222372526,NaN,NaN
900,NaN,NaN,NaN,0.842294006386193
1000,1.1582713535847,0.461050394780426,6.47809052210426,NaN
1500,1.82302640162912,1.70193520154156,4.26058003767505,1.75302894351404
2000,2.6696424325968,1.67382813091665,NaN,2.00284203211174
2500,1.15053329369041,NaN,1.97301004058161,2.08931685396478
3000,1.48127261489748,1.04747218501334,1.37168022785769,1.42768113640117
3500,1.5469164960687,1.23219577071762,NaN,NaN
4000,0.826756890052499,NaN,0.54720309014453,0.801181920043297
4500,NaN,0.778726196538326,NaN,0.514784570879259
5000,1.14853422281011,NaN,NaN,NaN
5500,NaN,1.5258491739283,0.025332938721003,NaN
6000,1.94858884997925,NaN,NaN,0.222923882940091
6500,NaN,0.754781395560651,NaN,NaN
7000,1.46038409979605,NaN,0.0348461937356181,0.165439703759284
8500,NaN,NaN,0.0126152573122226,0.104810175371371
