timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.032007082785376,0.0144766973503732,16.3595588944536,0.0171446354159944
45,NaN,NaN,0.0199225692548557,NaN
90,NaN,NaN,0.0127819501880453,NaN
150,NaN,NaN,0.0083298023332096,NaN
200,NaN,0.0333495643963515,0.0121139784802407,NaN
250,NaN,NaN,0.0138222775549616,NaN
300,11.3020717820939,NaN,NaN,NaN
350,NaN,NaN,0.00658130303415294,9.60430014634189
400,NaN,0.134900001798045,0.0135493933264591,NaN
500,NaN,NaN,0.00662229493683564,NaN
600,NaN,0.48414761382659,NaN,NaN
650,12.8551440503736,NaN,NaN,NaN
700,NaN,NaN,NaN,15.205188248402
850,NaN,0.998988889361199,NaN,NaN
950,10.7694375812658,NaN,NaN,NaN
1000,NaN,1.35722820187503,NaN,9.10138983293454
1500,11.1262299721197,2.54965873714057,NaN,8.24403704731678
2000,7.14091998430386,1.66574135499525,NaN,12.9690143272119
2500,10.3729378558826,NaN,NaN,12.0077379877479
3000,7.22180222682356,1.2500683219218,NaN,6.69085475143724
3500,6.70821352890447,NaN,NaN,5.78080722652057
4000,NaN,NaN,NaN,8.60439428461712
4500,8.02840037710783,NaN,NaN,NaN
5000,10.200144008153,NaN,NaN,9.52101000742732
6000,6.9499835323254,NaN,NaN,5.05093200115147
7000,NaN,NaN,NaN,7.38365849231077
7500,6.72018103212542,NaN,NaN,NaN
8000,NaN,NaN,NaN,7.15577383827678
8500,7.2174813416647,NaN,NaN,NaN
