timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0460087179091833,0.0501205055437459,8.13826731660228,0.00479533800257043
400,2.56995729952924,0.0262174108075957,7.08867875312429,1.37569730183213
800,6.33335516704809,NaN,5.93247230169914,4.18228850131337
850,NaN,0.387772033200052,NaN,NaN
1000,5.4799846817459,NaN,2.56374883029696,3.97270659878024
1500,7.4720608689158,1.15023705864557,2.35158223125768,5.86633356751317
2000,8.64944953893389,2.70372511079793,1.73804516250176,3.82812830242852
2500,6.41454755949053,1.17064879631948,NaN,10.4780236251175
3000,NaN,1.13565316333359,0.901737667266677,NaN
3500,1.86203140750461,0.8878108014316,0.543814079103441,2.4147303121499
4000,2.30850676111157,NaN,0.421548739535176,3.84871218321137
4500,NaN,0.74425411096397,NaN,NaN
5000,2.4670121759906,NaN,0.48499800408372,2.07855709164619
5500,NaN,0.850462513160209,NaN,NaN
6000,1.06930337194324,NaN,0.100837149988944,2.31901673310706
7000,2.92254675846482,0.427201749630116,0.0948852509636021,1.76443236830511
8500,3.24771224028819,0.422585774750622,0.0500483419045297,2.02945966869026
