timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0460375303989091,0.025672834730244,5.79937869783569,0.00129772087068194
300,NaN,0.0551095015626807,NaN,NaN
350,NaN,NaN,10.5249775297004,NaN
450,0.278444814481504,NaN,NaN,NaN
500,NaN,NaN,NaN,0.302449097000907
650,NaN,0.117984394394617,NaN,NaN
750,NaN,NaN,8.31378578925316,NaN
900,0.49156607401177,NaN,NaN,NaN
1000,NaN,0.337259719696121,7.9332716081776,1.08097280605123
1500,1.82774477268804,1.05633994993276,5.45924374079873,2.62722746513101
2000,3.42317504270352,1.89537829206245,3.36979319309758,2.37471386241802
2500,2.97976292087426,3.01607758308617,2.20048706153273,NaN
3000,1.70853897047713,0.87718614417617,NaN,1.4672729292331
3500,NaN,1.74625004786522,0.935637963945628,0.928349254334806
4000,1.07519799805154,0.890806805607361,0.237044541989503,NaN
4500,NaN,NaN,NaN,0.485284228406978
5000,1.44608641093626,0.990296980669044,0.152690792783662,NaN
5500,NaN,NaN,NaN,0.428889167146287
6000,1.47779722273791,0.760692554244706,0.027717796529342,NaN
7000,1.55600738974705,NaN,NaN,0.217052248339241
8500,1.05793060271492,NaN,NaN,0.0956991392749526
