timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0315407222154473,0.0274667735779088,7.57134064942733,0.00843607189714812
350,1.26471848180936,0.0751766451784996,14.2016122875523,1.13838974771148
700,NaN,0.338090369208785,NaN,NaN
750,4.61707395250329,NaN,7.36679321647992,5.15466678014839
1000,9.15981351152209,0.603466483719566,3.91286967553026,6.87395578372885
1500,7.8368108729396,2.95465042919206,1.45704386418096,11.8312098457296
2000,6.56031957192892,1.24277131394587,1.12630732072063,4.5302134405055
2500,5.41875338794585,0.761006480463777,0.630528595819828,4.31155665688978
3000,4.15954652315028,0.767294502242759,0.47712999269799,3.99440199023775
3500,NaN,NaN,0.333042430946792,NaN
4000,4.41917001449903,0.631699877273295,NaN,2.00589863113218
4500,2.01854278290332,0.840137536481709,0.337333312342833,2.59393884638845
5500,3.87723248634767,0.49498060505086,0.21179796735426,2.48705305446305
6500,2.37391697886917,NaN,0.103158315356696,1.43576844302222
7000,NaN,0.831207798329315,NaN,NaN
7500,NaN,NaN,0.12090336719105,NaN
8000,3.29782143452761,NaN,NaN,3.07636893018393
