timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0312150199493571,0.0435456874218165,6.51025332824271,0.00863380257535034
35,NaN,NaN,0.0122755460703791,NaN
65,NaN,NaN,0.012428037452445,NaN
100,NaN,NaN,0.010837652039176,NaN
150,NaN,NaN,0.0134414788334546,NaN
200,NaN,NaN,0.0100316151483508,NaN
250,NaN,NaN,0.011067555550878,NaN
300,8.65115226556811,NaN,0.00986540588637356,9.72366811379511
400,NaN,0.106441000493574,0.01489412085514,NaN
600,NaN,NaN,NaN,7.68170140032878
650,3.08198344533026,NaN,NaN,NaN
850,NaN,0.832327339541316,NaN,NaN
900,NaN,NaN,NaN,8.8997459424865
1000,7.05824181427009,NaN,NaN,11.8599391889584
1500,13.7424686659905,1.27183300631373,NaN,8.10791748231014
2000,12.6824427581644,1.87672552565317,NaN,13.4229387473262
2500,5.16189998472016,0.756637046603561,NaN,8.79422639809712
3000,12.58126169048,NaN,NaN,5.99038342852035
3500,NaN,0.775011347073468,NaN,6.81828750207301
4000,11.2944538912306,NaN,NaN,12.2429108914229
4500,10.7125316291366,NaN,NaN,NaN
5000,NaN,NaN,NaN,8.80086928281242
5500,5.41698236607396,NaN,NaN,6.59639461253304
6000,7.39812368343196,NaN,NaN,NaN
6500,NaN,NaN,NaN,9.1859923116913
7500,6.30896543607829,NaN,NaN,NaN
8000,NaN,NaN,NaN,6.69116464942107
8500,6.86882479039734,NaN,NaN,NaN
