timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0162765744709982,0.0233315554211315,10.1774991021941,0.000829892697217748
350,NaN,NaN,5.78926923514461,NaN
400,0.205911442327637,0.0601060572388141,NaN,0.258632394115616
700,NaN,NaN,7.38337141620504,NaN
750,0.626343945344785,NaN,NaN,NaN
800,NaN,0.120595390065515,NaN,0.655566086595872
1000,0.496547666011025,0.179030161560549,8.40352545786231,NaN
1500,0.963656087742201,0.683664231385712,6.43764679499908,0.948791404449584
2000,1.06092777626864,0.644690980142672,11.2477778392156,1.26079940528871
2500,1.49547636712053,0.816749434680316,8.40092702495682,NaN
3000,NaN,NaN,2.84529774322305,2.18544391262166
3500,1.12875367499234,0.742823984230934,NaN,1.31573292122336
4000,1.24568507633177,1.26030585080994,1.4824318358214,1.31778938041657
4500,NaN,NaN,0.651442052176791,NaN
5000,1.63507143323344,0.401379791775273,NaN,0.679233326552095
6000,1.52051153365457,0.837863513067967,0.19148151793436,0.334188202772595
7000,0.675265957605382,0.817657706217084,NaN,0.266331868487364
8500,0.856092351710862,1.1675087753491,NaN,0.234065928804269
