timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.0368290409249765,0.0273074846637604,7.2219647074223,0.010762546168946
350,2.29326752660546,NaN,NaN,NaN
400,NaN,0.205859741880666,NaN,3.27969225517452
500,NaN,NaN,6.70758376396929,NaN
750,10.6595710973927,NaN,NaN,NaN
800,NaN,NaN,NaN,7.0190965381008
850,NaN,0.899134401145404,NaN,NaN
950,NaN,NaN,4.19715513801833,NaN
1000,6.2704449447193,NaN,NaN,5.98576235776188
1500,4.97295789653724,4.52313408028742,1.89860079060988,11.5117137194742
2000,10.679313223651,1.96404090062553,1.54287534133695,7.02278560443306
2500,4.46705071195689,1.33739617531106,NaN,10.8610299588132
3000,4.97548222068138,1.26353321614025,0.418355404175866,NaN
3500,NaN,NaN,0.410766552847615,1.82794505544208
4000,3.13850654698545,0.995052140104708,NaN,2.06144723215832
4500,4.93641391340303,NaN,0.289129921509975,NaN
5000,NaN,0.704717592333056,NaN,3.13724256846465
5500,3.09109375187063,NaN,0.174649884337735,NaN
6000,NaN,0.55393684295201,NaN,1.73390577654126
6500,1.00207356331692,NaN,NaN,NaN
7000,NaN,NaN,0.0696582059581274,1.30381043451595
7500,NaN,0.541390449875697,NaN,NaN
8000,1.31437877475088,NaN,NaN,NaN
8500,NaN,NaN,0.0555274661446299,1.3704434599726
