timepoint,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs
0,0.043767688749161,0.0441070802350613,10.2812791865898,0.00097363717159097
350,NaN,NaN,8.44416341785439,NaN
400,0.20984913108147,0.131984941621535,NaN,NaN
450,NaN,NaN,NaN,0.190218610418651
700,NaN,NaN,10.3091680741909,NaN
800,NaN,0.107963334446018,NaN,NaN
850,0.766673591959367,NaN,NaN,NaN
900,NaN,NaN,NaN,1.21545914098
1000,NaN,0.149196353558751,12.267100502273,NaN
1500,0.679403897467651,0.384800482897607,6.53846415846653,0.578661747436708
2000,2.18417002331697,0.959110587112286,4.19477082796285,2.60860387928016
2500,0.738418147637031,0.405643831516392,8.10234536003541,1.40926400975436
3000,0.72572795019909,NaN,4.91883898307381,2.11668903091153
3500,2.61346614404527,1.27777509618482,6.02396401442801,NaN
4000,NaN,0.999906631228505,2.17408255631687,1.14126492654637
4500,1.21662825173149,NaN,NaN,0.800427722934116
5000,0.908652552818928,2.24845732636975,0.698874085162167,NaN
6000,1.44549987054361,0.633185940067873,0.329399045279238,0.434657490582873
7000,NaN,0.406727021102073,0.0664402128093766,0.372060364516442
7500,0.929909708960628,NaN,NaN,NaN
8500,1.023462588991,0.753936750100733,0.0218291930430868,0.12251659143195
