t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,59.2536305820903,1.01686716392329,1.14297098294015,0.666998831262656,0.427279748334594
40,NaN,NaN,4.50710159172325,NaN,NaN
50,36.3955658331297,NaN,NaN,NaN,NaN
65,NaN,NaN,NaN,0.994775667346286,NaN
75,NaN,2.72303747906613,NaN,NaN,NaN
85,NaN,NaN,4.08037801738985,NaN,0.68591898236344
100,31.2281955560175,NaN,NaN,NaN,NaN
150,57.2660795141397,3.85661535276914,2.11485475656371,0.576561150224928,0.524767185152949
200,33.852385589991,NaN,2.4541956871337,0.593318581052876,NaN
250,29.4743846395393,4.49174652393864,3.37422298077686,NaN,0.339999348251526
300,NaN,5.72019052378968,3.06969243870088,0.679151174569996,NaN
350,58.1344973453046,NaN,3.81167174634283,0.96638658167509,0.516654449170529
400,NaN,3.04467021437603,NaN,NaN,NaN
450,55.99725013874,NaN,3.60031891244907,0.806173553606179,NaN
500,88.1778653291677,NaN,NaN,NaN,0.637189775583485
550,NaN,8.21850960703391,3.44927333887749,NaN,NaN
600,NaN,NaN,NaN,1.06444971820915,0.748937130250368
650,43.4194269654815,2.93315163021423,3.11150924664224,NaN,NaN
700,NaN,NaN,NaN,0.687110885391447,NaN
750,68.0890442222351,NaN,4.88287922804114,NaN,0.623519069936462
800,NaN,3.4318482320504,NaN,NaN,NaN
850,NaN,NaN,NaN,0.751181255851807,NaN
900,58.4735135975747,NaN,NaN,NaN,NaN
950,NaN,NaN,NaN,NaN,0.845853236689434
1000,55.2376797386473,2.12335938462942,NaN,0.821758448025297,0.633632032847014
1500,NaN,2.1665361876051,NaN,0.779678073212909,1.03816995463179
