t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,139.238798762898,1.6740922611726,0.979005156817542,1.61868190705157,0.985389048175139
45,226.33766302016,NaN,NaN,0.978417770348001,NaN
65,NaN,2.56997622518711,3.50416680909829,NaN,NaN
75,NaN,NaN,NaN,NaN,0.385358725105131
85,159.267034206886,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,0.833666523147363,NaN
150,139.847845751247,4.35559089992289,2.05107751760508,1.20086435818587,0.471956245773018
200,160.658208771743,3.00032807195128,3.33637178452718,0.469051670834852,NaN
250,247.031618126295,NaN,NaN,0.586198837365903,0.28330709175514
300,136.042775149273,7.58232908491694,2.6403119950127,0.512874078337197,0.452303684567703
350,208.563579872136,7.83083251695641,2.04953677332936,NaN,NaN
400,179.084274003273,NaN,NaN,0.722343924166767,0.430337127694394
450,NaN,9.78457582176745,3.24461540041895,NaN,NaN
500,130.547415389124,NaN,NaN,0.657125556879066,NaN
550,NaN,7.94715328297104,3.7006275297345,NaN,0.76588341804541
600,276.740896976239,NaN,NaN,0.685528602899452,NaN
650,NaN,NaN,NaN,NaN,0.560527838886524
700,241.845739886425,5.25366553852918,3.0780162177772,0.823647259500786,NaN
800,NaN,NaN,NaN,0.798454812320713,0.829625756949536
850,144.476785333015,4.40710565081063,2.80008922976164,NaN,NaN
1000,140.540001786995,3.7950111933342,2.8545053148573,1.00688530923822,0.563072471633635
1500,NaN,1.20922434798307,3.09659689646909,NaN,0.757203871966647
