t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,78.6793877706285,0.846098452955861,1.14331586035532,0.592631903563029,0.4843975476525
10,46.1096433715114,1.44470467794168,0.901984587300245,1.17783660062687,NaN
15,NaN,NaN,NaN,NaN,0.935405770188462
20,NaN,1.19338237587844,NaN,NaN,NaN
25,102.054873366239,NaN,1.01990032897532,0.784375001153642,1.06027377427168
30,NaN,1.42367382177679,NaN,NaN,NaN
35,NaN,NaN,NaN,1.00699408395192,NaN
40,56.1521206094402,NaN,1.51164758687309,NaN,0.97480199577969
45,NaN,1.26713711307276,NaN,NaN,NaN
50,NaN,NaN,NaN,1.09184601138421,NaN
55,59.4563590550167,NaN,0.771121688842613,NaN,NaN
60,NaN,0.711009108117587,NaN,NaN,1.15534435412366
70,52.5805534964947,NaN,1.04391138122315,1.04518391364508,NaN
75,NaN,1.58608823951629,NaN,NaN,0.802706659263486
90,54.9413835483642,NaN,0.878290925142559,0.979978873861801,NaN
100,NaN,NaN,NaN,NaN,0.951955018515715
