t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,82.3543599233713,0.935374158223082,1.21731611062669,0.898247111967012,0.644906159175538
50,NaN,NaN,NaN,1.14520256572255,NaN
55,NaN,NaN,5.79794088012986,NaN,NaN
60,59.8512746336717,NaN,NaN,NaN,NaN
70,NaN,NaN,NaN,NaN,0.525450299692008
75,NaN,1.83053867538532,NaN,NaN,NaN
100,36.5843548353199,NaN,7.03157947016695,0.791539814016948,NaN
150,NaN,3.08437372349812,2.90564634343902,0.369646882777866,0.356025996632707
200,65.4019331535568,3.43625071470803,NaN,0.428555086573038,0.189171940463061
250,51.8344877420994,NaN,3.69238211753302,NaN,NaN
300,NaN,2.0614614224438,8.48246767802364,0.628667218143206,0.214510849557564
350,54.9822814721333,NaN,3.05453572581624,0.377277506332902,0.286405746568521
400,76.144084483304,5.12887527007603,NaN,NaN,NaN
450,NaN,NaN,6.91283360186069,0.784372167684411,0.221007914509401
500,57.8675048027809,5.0978075787843,NaN,NaN,NaN
550,NaN,NaN,6.36384823148524,0.447009307822871,0.28962107421376
600,85.0288964484218,NaN,NaN,NaN,NaN
650,NaN,4.71104691456367,6.3169980818684,1.35122820181259,NaN
700,NaN,NaN,NaN,NaN,0.415950627266684
750,45.4313733229751,NaN,6.91198806870416,NaN,NaN
800,NaN,5.79696400435924,NaN,0.817028825221438,NaN
850,NaN,NaN,NaN,NaN,0.808569902466187
900,42.8308892417534,NaN,3.03910692751684,NaN,NaN
950,NaN,2.11407015373059,NaN,0.77945715232189,NaN
1000,82.6960757353624,1.75030300492052,7.42258734981906,1.62000796410413,0.592322496139308
1500,59.6143804137038,2.74738485389754,7.16644792775667,NaN,0.693848179072093
