t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,91.1286806752017,0.920749859849343,0.671356091308648,0.835695862401952,1.09413463045368
9.5,NaN,NaN,1.19787614846096,NaN,NaN
10,70.1925070571586,NaN,NaN,0.721057470940264,NaN
15,NaN,1.02653269216438,NaN,NaN,1.08097959934654
20,NaN,NaN,1.62896740381832,1.6543478594257,NaN
25,56.6324848020077,1.15270776708845,NaN,NaN,0.575362449473339
30,NaN,NaN,1.12854779036298,NaN,NaN
35,NaN,NaN,NaN,1.23611404525006,NaN
40,80.0287238244077,1.11107816602706,NaN,NaN,0.822228131291488
45,NaN,NaN,0.748755481369704,1.90035869207428,NaN
55,41.4213420298324,1.12886375320586,1.18261774927442,NaN,0.80403570455152
60,NaN,NaN,NaN,1.89365562313225,NaN
70,NaN,NaN,1.26903991853604,NaN,NaN
75,83.8582258547369,0.897926281866317,NaN,NaN,1.35598382273842
80,NaN,NaN,NaN,1.13481676801308,NaN
90,NaN,NaN,0.848531367396536,NaN,NaN
95,58.5628030827458,NaN,NaN,NaN,0.685373125909332
100,NaN,1.27016407306815,NaN,NaN,NaN
