t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,50.515588516153,0.610267633162768,1.60050347024971,1.11852897847034,0.809103821142815
10,57.1782680729377,1.19775825866896,1.04877513304069,1.38300579107713,NaN
15,NaN,NaN,NaN,NaN,1.33273874175334
20,63.2036223928079,0.928277215986371,NaN,NaN,NaN
25,NaN,NaN,0.898546089839697,0.961121475959653,NaN
30,NaN,NaN,NaN,NaN,0.733675616878697
35,46.9822702546166,0.841501491524961,NaN,1.17654752806529,NaN
40,NaN,NaN,1.29683663807475,NaN,NaN
45,61.6551113823363,NaN,NaN,NaN,1.11144996407467
50,NaN,0.863648641533398,NaN,1.34897852427649,NaN
55,NaN,NaN,1.29118542027363,NaN,NaN
60,67.0417025178948,NaN,NaN,NaN,NaN
65,NaN,1.21549682493279,NaN,1.12663209708674,0.78968794066103
75,NaN,NaN,1.14042593798003,NaN,NaN
80,48.3524525378424,NaN,NaN,NaN,NaN
85,NaN,1.2570537349688,NaN,1.15340356148774,0.769008584843698
95,NaN,NaN,0.572021120329195,NaN,NaN
