t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,43.3496278827455,0.961550511804276,0.79710638462002,1.00597174392686,0.734014271593045
30,NaN,NaN,2.95085566047662,NaN,NaN
45,47.5558948712321,NaN,NaN,NaN,NaN
60,NaN,NaN,2.59171698803467,1.05263126964211,NaN
75,NaN,1.93059880580179,NaN,NaN,0.259858383045096
85,34.1461809682034,NaN,NaN,NaN,NaN
90,NaN,NaN,2.69857653560109,NaN,NaN
100,NaN,NaN,2.52653264097164,NaN,NaN
150,43.2752894039295,3.17053373982854,4.36848005678521,0.407891533189339,0.52276140055286
200,28.2841906657853,NaN,3.98065726719387,0.769875867606443,NaN
250,37.8850320018274,6.45043952923557,4.97190245221176,0.440533190503372,0.404404378398328
300,36.9513671398683,5.46379020783697,5.01728269353807,NaN,0.288392177416951
350,61.3477454486579,NaN,5.76040001608304,0.905243127461827,NaN
400,NaN,3.37636983735533,NaN,0.689657087899894,0.449825098204598
450,52.3349751168263,NaN,3.52281110721446,NaN,NaN
500,NaN,4.90498435459764,NaN,0.774992460601134,NaN
550,55.2213190449208,NaN,NaN,NaN,0.534980385920944
650,42.8950988148744,4.75692817519766,NaN,0.784851073495468,0.422155363040753
750,NaN,NaN,NaN,0.847937948219971,NaN
800,37.0280084943686,3.38075764023029,NaN,NaN,0.255661532992009
900,NaN,NaN,NaN,0.664924306896933,NaN
950,40.0476588869051,3.82595633168942,NaN,NaN,NaN
1000,NaN,2.31156327176268,NaN,0.956501719979079,0.75727697655545
1500,NaN,1.49702631092115,NaN,0.868339006694162,0.535692201217231
