t,TGFb_Obs,geneJ_Obs
0,1.20552437935687,1.32050879741694
50,NaN,1.08616148188615
65,0.502089221196783,NaN
100,NaN,0.692049115209727
150,0.356882476010286,1.02891665972904
200,0.452328119511657,1.16286587699143
250,NaN,0.727889274430762
300,0.379354861575388,NaN
350,0.251896011624917,0.97459893961656
400,NaN,0.933472833444982
450,0.261806599785223,NaN
500,NaN,1.17316461478073
600,0.246507873770252,1.13083185967304
700,0.0913131103223194,0.767815331823663
850,NaN,0.866681153963251
900,0.090044194417243,NaN
1000,0.122671116089291,0.975471294629195
1500,0.0274796200966737,NaN
