t,S4_Obs,geneA_Obs,geneH_Obs,geneJ_Obs,geneL_Obs
0,186.263016725564,0.853387183996328,0.879930034554767,1.10750739170304,0.988154444313838
10,492.450392654307,NaN,NaN,0.946372210886544,0.753648508850629
15,NaN,0.933531639900843,1.43471963834248,NaN,NaN
25,215.225065296802,NaN,1.0569325090053,1.23502006057415,1.43791674084351
30,NaN,1.02318154218373,NaN,NaN,NaN
35,173.334064215692,NaN,NaN,NaN,0.761868826930997
40,NaN,NaN,0.711836852747821,1.73682256985964,NaN
50,277.183684737494,1.55098487414096,NaN,NaN,0.441419830473462
55,NaN,NaN,NaN,0.652642951637671,NaN
60,NaN,NaN,1.58883762811033,NaN,NaN
65,239.423899366181,1.23249392227483,NaN,NaN,1.31826792315555
70,NaN,NaN,NaN,0.708899981610208,NaN
80,NaN,NaN,1.03725313532089,NaN,NaN
85,318.135340641297,NaN,NaN,NaN,0.76520369257222
90,NaN,0.817681841309772,NaN,1.07776357315973,NaN
100,NaN,1.21588415248491,1.26330477226103,NaN,NaN
