t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs,Compound_7_Obs,Compound_8_Obs,Compound_9_Obs,Compound_10_Obs,Compound_11_Obs,Compound_12_Obs,Compound_13_Obs,Compound_14_Obs
0,0.00870423871282737,0.00660520802551531,0.00488058007888096,0.0287083108789376,0.466757844145052,0.00590821681026151,0.269287541095941,0.83412006394469,0.057075407282705,0.52033689522163,0.626701428377882,0.0816169406487554,0.0323373389277675,0.0339644999493503
3.5,0.0044678134527789,NaN,0.00129184914841504,NaN,NaN,NaN,0.23106805965608,0.752281377270861,0.0632469810682411,NaN,NaN,NaN,0.0354187445740024,NaN
4,NaN,0.0052032459953128,NaN,NaN,0.362246434931141,NaN,NaN,NaN,NaN,0.725451972879371,0.497874220158882,0.097159598101563,NaN,0.0245562594174825
4.5,NaN,NaN,NaN,0.0178711919730432,NaN,0.00466716335232387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,0.00511663449662404,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0530292764921051,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,0.00150798529079526,NaN,NaN,NaN,0.202402717296739,0.848144523350045,NaN,NaN,NaN,NaN,NaN,NaN
7.5,NaN,0.00413234770891318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.041875284978177,NaN
8,NaN,NaN,NaN,NaN,0.552452652974533,NaN,NaN,NaN,NaN,0.724292061676126,0.583013040828966,0.0888891975821731,NaN,0.0325572376486095
9.5,NaN,NaN,NaN,0.0123412301421391,NaN,0.00590042200855772,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,0.00464818555236691,0.00379854347379627,0.00130058216850036,NaN,0.616325004060128,NaN,0.168873193011577,0.846631622304413,0.069712111833245,0.655423821675397,0.655030055575844,NaN,0.0374333017993456,NaN
15,0.00536804743466036,0.00508231203770861,0.00115313752547854,0.011304385002485,0.569352461657961,0.00710975580629925,0.160560692002022,0.74179736697905,0.0680158777341312,0.527539291374747,0.699989679522103,0.114766467115979,0.0371478828925765,0.0458285303217261
20,0.00628825906015506,0.00463574931587086,0.00125699849861524,0.0144163878760111,NaN,0.00663242849167994,0.122510895550289,0.722592268601783,0.0652685401977909,NaN,NaN,0.119874895721934,0.046140576559065,0.0312492663057093
25,0.00664208870636157,0.00472807008238932,0.00129662636202278,NaN,0.658990178811482,NaN,0.130454204873354,0.696311464751062,0.0666435918972153,0.669502674501626,0.620999581571034,0.109902616131298,0.0505925944819889,0.0407727290429256
30,0.006643296853881,NaN,0.00160715531791101,0.0138877066646947,0.711620388977641,0.00688131807246596,NaN,0.756697586864609,0.0557478188279999,0.753072124680345,0.69542482387046,0.125718617786328,NaN,0.0363047038607125
35,0.00636435773450265,0.00505564564353591,0.00192172621457431,0.0123708006431669,NaN,0.00661862873366172,0.0702425225086117,0.721259853853778,NaN,NaN,NaN,NaN,0.0456273147897275,NaN
40,NaN,0.00585691239724145,NaN,NaN,0.690114809298718,NaN,0.0386832432884451,NaN,0.053525844782815,0.71684115128611,0.71667296085418,0.165360407620762,0.0529112689231095,0.0386351047389018
45,0.00656509731140833,NaN,0.00138421004974891,NaN,NaN,NaN,NaN,0.755000888997096,NaN,NaN,NaN,NaN,NaN,NaN
50,0.00515470028353058,0.00529871978779506,0.00205960387087859,0.0129658523289737,0.749207371152041,0.00723433031634415,0.0136454820709976,0.835874637665427,0.0445652656543097,0.729625015276745,0.739335938675978,0.146219649034859,0.0488239988955356,0.0455642631192771
60,0.00677031689028416,0.00581843257352775,0.00223046953805521,0.0110171914482484,0.784382549450228,0.00731317432619734,0.0286404343644267,0.705923259683558,NaN,0.734455035756158,0.707736159190138,0.134017546448773,0.0550749454088095,0.045483720884059
