t,Compound_1_Obs,Compound_2_Obs,Compound_3_Obs,Compound_4_Obs,Compound_5_Obs,Compound_6_Obs
0,0.986858422429713,1.29127417457853,1.02369598597314,1.31270458782483,0.999160179027361,0.000150799996587653
10,0.0127607424979954,NaN,NaN,NaN,-0.0222990549461226,NaN
15,NaN,NaN,-0.000315536685377472,NaN,NaN,NaN
20,0.0015029187444755,NaN,NaN,NaN,-0.0221504801659554,NaN
25,NaN,NaN,0.0425083133659029,0.882390779613226,NaN,0.000459220754100047
35,0.00542749867136261,0.783967386025732,NaN,NaN,0.0176275952664214,NaN
40,NaN,NaN,0.0527588161938372,NaN,NaN,NaN
45,-0.0335320211532067,NaN,NaN,NaN,NaN,0.000332777820396209
50,NaN,NaN,NaN,NaN,0.028658506079708,NaN
55,NaN,NaN,NaN,0.702789015955856,NaN,NaN
60,0.0126397517175673,NaN,0.0231481740133314,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,0.0210123532812053,NaN
70,NaN,0.594148726551864,NaN,NaN,NaN,0.000294544542349453
75,NaN,NaN,0.0183848382098818,NaN,NaN,NaN
80,-0.0373074474262141,NaN,NaN,NaN,NaN,NaN
85,NaN,NaN,NaN,0.515337861623589,0.013461395032463,NaN
100,-0.0197682194687282,0.469623061465916,-0.0124708879723148,0.449583448863831,-0.00292208980718429,0.000260232300579242
150,NaN,0.463045780598355,-0.00985739093582207,0.288317192333618,NaN,0.000224241420098862
200,NaN,0.31473685440324,NaN,0.395493837129297,NaN,0.000170739047249766
250,NaN,0.275982879479598,NaN,0.443922278222513,NaN,0.000166725073304545
300,NaN,NaN,NaN,0.301553766121385,NaN,0.00013671576088567
350,NaN,0.199524667221308,NaN,NaN,NaN,NaN
400,NaN,0.379017206758048,NaN,0.467622522782546,NaN,NaN
450,NaN,NaN,NaN,0.261959704039083,NaN,NaN
500,NaN,0.403888844414626,NaN,NaN,NaN,NaN
