t,IPR_R_Obs,IPR_S_Obs
0,0.806084360720764,1.12479830556722e-05
0.075,0.153227447841578,NaN
0.15,0.026015591734683,NaN
0.2,NaN,0.00183162475824522
0.25,0.00346564030583021,NaN
0.35,0.0011068025972452,NaN
0.4,NaN,0.00334088218401684
0.45,0.00101895949919422,NaN
0.55,0.00103687500383206,NaN
0.65,NaN,0.00369422752415595
0.7,0.00118131369602237,NaN
0.85,0.000919487841182221,NaN
0.9,NaN,0.00329663903003448
1,NaN,0.0030722158499168
1.5,NaN,0.00370546424033783
2,NaN,0.00274539300512355
2.5,NaN,0.00373275909683809
3,NaN,0.00267322321591421
