t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,74811.9721441906,-0.000155006580143309,8.0620782209896e-06
150,2499752.18321393,NaN,NaN
300,1647267.30982685,NaN,NaN
450,NaN,0.010462452313104,2.40511129898451e-06
500,927995.481791799,NaN,NaN
700,346498.120364559,NaN,NaN
900,NaN,NaN,3.40968457957456e-05
950,157788.694205402,0.0126250677956875,NaN
1500,21445.275944919,0.0132061204788737,4.86392616860005e-05
2000,NaN,0.0116392997995253,5.36427388345835e-05
2500,NaN,0.00926244469709696,4.34317793493104e-05
3000,NaN,0.00847838719907308,4.57924137023452e-05
4000,NaN,0.00715657642410363,3.18523596396112e-05
5000,NaN,0.00389451235571078,1.92113729694513e-05
6000,NaN,0.00285949168720524,2.20356828418889e-05
7000,NaN,0.00384082683869538,1.04811458934915e-05
8500,NaN,0.00261698188190967,9.87442612736279e-06
