t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,-386746.21423436,0.00106320768033972,-6.88816964813975e-08
55,3766077.25316149,NaN,NaN
100,5614264.48456618,NaN,NaN
150,5464197.39573,NaN,NaN
250,3233299.46092828,NaN,NaN
300,2413767.53799178,NaN,NaN
400,1437080.50456153,NaN,1.25027428977607e-05
500,288936.757357842,0.0146569819758365,NaN
600,431315.017898621,NaN,NaN
700,1650.4627059488,NaN,NaN
850,69727.4390166786,NaN,3.70618023368737e-05
1000,-56246.7259471462,0.0152916228039928,NaN
1500,NaN,0.0127775094335473,4.6557371443803e-05
2000,NaN,0.0103483924653509,4.36401718637548e-05
2500,NaN,NaN,4.13397595928437e-05
3000,NaN,0.00688680395627368,3.85965550812523e-05
3500,NaN,0.00708737692760148,3.10467638494655e-05
4000,NaN,NaN,2.62008680135412e-05
4500,NaN,0.00502006832636592,NaN
5000,NaN,NaN,2.08605199533501e-05
5500,NaN,0.00358223660089401,NaN
6000,NaN,NaN,1.24753339003563e-05
7000,NaN,0.00405493089821686,NaN
7500,NaN,NaN,7.86348356441075e-06
8500,NaN,0.00214674041343209,6.52947245336075e-06
