t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,66019.8093253587,-0.000110783815657204,3.96081769758832e-06
200,822060.326771052,NaN,NaN
400,588101.42866409,NaN,6.15087625084941e-06
500,NaN,0.00575339910674363,NaN
650,336162.792491378,NaN,NaN
850,NaN,NaN,1.85764987925603e-05
900,157144.779238636,NaN,NaN
950,NaN,0.00962719574158777,NaN
1000,158541.682635273,NaN,NaN
1500,21676.9277883284,0.00928834920158371,3.46090674036216e-05
2000,31687.9023828475,0.0104381176943823,3.62200304469837e-05
2500,NaN,0.00644755950137039,NaN
3000,NaN,NaN,2.96188300791855e-05
3500,NaN,0.00621821363430727,2.68077382665551e-05
4000,NaN,0.00597414907606616,2.39778413901566e-05
5000,NaN,0.00476452108339986,1.84690988098629e-05
6000,NaN,0.00214666819966121,1.25827487021997e-05
7000,NaN,0.00228977693640707,NaN
7500,NaN,NaN,3.82789080233031e-06
8500,NaN,0.000815061696789611,7.57846073216535e-06
