t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,61995.2372517562,-0.000348222058923703,-1.77149147570332e-06
50,9479694.17495328,NaN,NaN
100,11238990.6004208,NaN,NaN
150,6972322.24208085,NaN,NaN
250,1762974.31532696,NaN,NaN
300,823228.612661684,NaN,NaN
400,-346630.459919993,NaN,1.32064273654993e-05
500,-245895.899692398,0.0125303226260797,NaN
600,271243.003147785,NaN,NaN
750,52379.7709521201,NaN,NaN
800,NaN,NaN,2.97497883505988e-05
950,292231.209705207,NaN,NaN
1000,NaN,0.0121602919594629,3.6436318461965e-05
1500,NaN,0.00869256054081584,3.97165455745266e-05
2000,NaN,0.00815311032668199,3.9026345428437e-05
2500,NaN,NaN,3.55341925103475e-05
3000,NaN,0.00563542174728896,NaN
3500,NaN,0.005931239874736,2.67304026517575e-05
4000,NaN,NaN,2.16260727140821e-05
4500,NaN,0.00469036951785068,NaN
5000,NaN,NaN,1.66089172542481e-05
6000,NaN,0.00264463507317859,1.38441255716859e-05
7000,NaN,0.00293334140229085,1.15639617339823e-05
8500,NaN,0.000553179718640571,1.03998422797164e-05
