t,pEGFR_Obs,pAkt_S6_Obs,pS6_Obs
0,-1623.16290091327,-0.000123746001790302,2.20061055872941e-06
400,207769.438505778,NaN,NaN
450,NaN,0.00264687320027385,1.13745887331742e-06
850,81320.7395644711,NaN,NaN
900,NaN,NaN,9.71690652420138e-06
950,NaN,0.00408820316632554,NaN
1500,26171.8835592578,0.00553914306969692,1.66166872469217e-05
2000,2933.69578420012,0.00422723250889629,1.68132488143724e-05
2500,8290.54356190338,0.00436646223725589,1.78452550872333e-05
3000,NaN,NaN,1.72771411317674e-05
3500,NaN,0.00309195885811481,NaN
4000,NaN,0.00296210456391161,1.32577940305374e-05
5000,NaN,0.00191010227308929,1.02256697007183e-05
6000,NaN,0.00200400791252505,8.2302843022881e-06
7000,NaN,0.00137397374216692,5.66510384780431e-06
8500,NaN,0.00101729848631392,5.39726653059161e-06
