t,STAT5_Obs,SOCS3mRNA_Obs,IL13_DecoyR_Obs,SOCS3_Obs,Compound_1_Obs,Compound_2_Obs
0,180.010649666708,15.7380201258756,0.035232719518493,-30.6425814299187,432.091280428397,-66.9083576957347
3.5,NaN,NaN,0.231699503026543,NaN,NaN,NaN
7.5,NaN,NaN,0.307831972746812,NaN,NaN,NaN
10,118.953557227717,-13.6105065387259,0.294718518963713,0.981863609621054,418.422042251872,NaN
15,NaN,NaN,0.308850735802444,NaN,NaN,-47.5943020992802
25,57.183144945668,201.836241352304,0.302366409751542,-11.6182630362975,409.240559164456,NaN
30,NaN,NaN,0.351587146955188,NaN,NaN,54.4715406737883
35,46.2635454668052,NaN,NaN,30.7093195804124,372.94691182904,NaN
40,NaN,292.235702333475,NaN,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,303.686987310552
50,59.4006880480775,NaN,NaN,141.777758010217,409.955539815769,NaN
55,NaN,570.315155552386,NaN,NaN,NaN,NaN
65,46.1302896454085,NaN,NaN,161.390592368943,465.316768610037,459.970408589872
70,NaN,477.126157556485,NaN,NaN,NaN,NaN
80,53.3370505876566,NaN,NaN,292.322756033868,436.164135122624,NaN
85,NaN,746.493523217803,NaN,NaN,NaN,628.871447082546
95,NaN,NaN,NaN,NaN,466.034642327629,NaN
100,87.1070179233661,805.829002073023,NaN,288.078308382069,452.490692108694,809.496947847965
150,81.7142233974142,1282.67087465363,NaN,408.967917298284,424.520641949709,1156.81959361889
200,94.13566720417,1466.24096259296,NaN,480.941628944412,453.09895800581,1517.93927139963
250,90.3524973334641,1754.52304522798,NaN,512.40142779289,451.308359758465,1834.97110869405
300,NaN,2164.98324662472,NaN,509.286829945617,453.521997280934,2022.03806814399
