t,STAT5_Obs,SOCS3mRNA_Obs,SOCS3_Obs,Compound_2_Obs
0,153.271748140334,-11.9820870068259,21.371917305882,-48.2008954922455
10,NaN,-25.4299037544432,26.500115001158,55.3954394195888
15,110.124450240201,NaN,NaN,NaN
20,NaN,22.5693620737852,NaN,NaN
25,95.0043111358219,NaN,63.4982409258752,49.32683831293
35,NaN,80.0584029423918,NaN,153.759995662725
40,74.5141949032422,NaN,65.8805474839091,NaN
45,NaN,146.49192271544,NaN,NaN
50,NaN,NaN,98.6141350360483,203.064845867081
55,64.667974301179,NaN,NaN,NaN
60,NaN,260.617079695729,NaN,NaN
65,NaN,NaN,NaN,393.750399808639
70,63.8467424845059,NaN,186.953206155713,NaN
75,NaN,416.342208585513,NaN,NaN
85,NaN,NaN,197.620624321625,494.254727959773
90,89.5753583815794,460.935376475286,NaN,NaN
100,79.4458986199069,598.325409936678,301.520486125593,556.503551593311
150,107.085659119142,779.241538125188,388.730690487136,821.494309537471
200,105.876156448829,994.36873292607,463.796907600082,1027.78227071884
250,149.614137069308,1130.60770245172,454.443721278699,1227.96262611389
300,122.229147222254,1295.24720705525,448.069464590142,1272.17617500562
