t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs
0,5.80448462936458,-0.0015121339690849,-0.000327301965168053,-0.00131420629287147,114.447114308176,2.3630478234647,-1.73231428162069,0.00011320075051006,5.3182076855463e-05,-3.72323657490173e-05,0.00265467923246407,0.0396150909918869
4,NaN,NaN,0.223618578877666,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,0.360353789945789,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,4.99075627815651,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.920084171633872
8,NaN,NaN,0.178124418631033,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,NaN,NaN,-3.17985459842223,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,NaN,79.6509628395939,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,NaN,NaN,NaN,4.00958361063106,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,0.103756003575105,0.125734587906041,NaN,NaN,NaN,NaN,0.000231285948656157,0.000289074407052757,0.00196932831611867,NaN
15,5.23082759440055,0.132883652315291,0.035036463522336,NaN,NaN,NaN,64.4036029784643,0.000537846373216904,NaN,NaN,NaN,0.427138782689934
20,5.74929138698665,0.0995730005171731,0.0289102716709182,0.1841722711189,69.0575584374813,11.7056022924922,NaN,NaN,NaN,NaN,0.00274096909456466,-0.0912488952852076
25,NaN,NaN,NaN,NaN,65.8765336899892,NaN,231.821214879895,0.00111125574906962,0.000957106298932727,0.000990520656672794,NaN,NaN
30,4.98977583607847,0.0549349045509595,0.0184009467549076,NaN,NaN,18.3733061605975,NaN,NaN,NaN,NaN,0.00734367622478317,1.4258477611468
35,NaN,0.0423631794913556,0.0107411064235069,0.246033274414441,71.2521376035482,NaN,421.480161929558,NaN,0.00144014035432186,0.00125767308876575,NaN,NaN
40,5.72252769782987,NaN,NaN,NaN,NaN,19.753055701322,NaN,0.00153812892234978,NaN,NaN,NaN,2.58545443866981
45,NaN,0.0364421256279456,0.00317165326750614,0.235523842508463,NaN,NaN,496.736702216789,NaN,NaN,NaN,0.0214456893172795,3.56752894688574
50,5.2922519128825,NaN,NaN,NaN,74.5762477961815,20.9838333524538,NaN,NaN,0.00179971773912262,0.00173037310601577,NaN,NaN
55,NaN,NaN,-0.00051855856660523,NaN,NaN,NaN,NaN,0.00185450075748466,NaN,NaN,NaN,4.70331644318986
60,5.80173652490637,0.0254236957281322,NaN,0.287108670813894,73.2932147600047,NaN,635.806483885605,NaN,NaN,NaN,0.0375752627336993,NaN
65,NaN,NaN,NaN,NaN,NaN,20.4637071409038,NaN,NaN,0.00179745393808183,0.00171821457954789,NaN,NaN
70,NaN,0.0199584453974954,NaN,NaN,NaN,NaN,633.317441607238,0.00161716234553216,NaN,NaN,NaN,6.22455764875176
75,6.02497049217824,NaN,NaN,0.305051234045121,75.6842501724117,NaN,NaN,NaN,NaN,NaN,0.0481825185395408,NaN
80,NaN,NaN,NaN,NaN,NaN,21.5998575674451,NaN,NaN,0.0016895217531951,0.00169431720950721,NaN,7.33817878022025
85,NaN,0.00800973883391708,NaN,NaN,NaN,NaN,681.591930208418,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,0.267551933581944,84.6906141150363,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,5.34166657740125,NaN,NaN,NaN,NaN,NaN,NaN,0.00162409101625087,NaN,NaN,0.0567830005491995,8.64942327834067
100,5.70353196934662,0.00965764982671394,NaN,0.312216638386133,83.8259277805364,20.2508265042914,628.571356406565,0.00141694344580521,0.0015573157501017,0.00147987425149213,0.0644981129605655,8.73591103962208
150,NaN,NaN,NaN,0.333149684888467,104.751905816076,13.0648589075115,411.744074866674,0.00109681504820515,0.0010279937827438,0.00104721378670439,0.069646481674973,9.84346697846762
200,NaN,NaN,NaN,0.305027390687832,104.863734775207,10.5511034777096,306.463892888386,0.000590932775635268,0.000743215964522664,0.000750706654587827,NaN,NaN
