t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,5.45693514173915,0.00362984847488724,-0.00764707659094344,125.336716545766,1.14891536317726,-13.5490136961533,0.0639643950673186,-3.36701525540191e-05,0.000182178717187149,-5.16182735611593e-05,0.937008027596354
8.5,NaN,0.5238845658365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,0.493805660524584,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,4.67913728223098,NaN,NaN,NaN,NaN,-3.48752012938523,0.476123582949208,NaN,NaN,NaN,-0.0434141250410748
15,NaN,0.256806809696095,NaN,40.6269964379651,12.633687470856,NaN,NaN,0.000972533529690419,0.000782548280316254,0.000762691247235216,NaN
20,4.92171038191801,NaN,0.100333413826664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,0.168481319910036,NaN,49.3758456789341,21.0591244595667,320.511750828683,1.75411731055439,NaN,NaN,NaN,1.60081671016075
30,6.06348660977665,NaN,0.0441567215441729,NaN,NaN,NaN,NaN,NaN,0.00175237212738996,0.00167953791466341,NaN
35,NaN,0.102885544108038,NaN,NaN,NaN,NaN,NaN,0.00214261742722661,NaN,NaN,2.07214358676517
40,5.5752027994559,NaN,0.0232292891254314,39.5436899788238,27.1732930816337,677.722516001285,1.41086521883448,NaN,NaN,NaN,NaN
45,NaN,0.0884850300024995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00240637742928268,NaN
50,NaN,NaN,NaN,NaN,NaN,846.595963463761,3.57426340542708,NaN,0.0021490969570354,NaN,5.57514441668415
55,6.37318247085844,0.0556218881046729,0.012465706116301,51.0054565647189,30.9919344831461,NaN,NaN,0.00230177246984374,NaN,NaN,NaN
65,NaN,NaN,NaN,NaN,NaN,866.265539234443,NaN,NaN,0.00235715185777756,0.00236749573614845,7.37511737443074
70,5.38328376589242,0.0546533290212593,0.0120029228211819,54.7476290494522,29.0685640263572,NaN,10.4492643903718,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00235318622626889,NaN,NaN,NaN
85,5.30409347467629,0.0441228364569585,0.00839101507917419,NaN,25.8957896228647,865.504154814809,15.673744011475,NaN,0.00220571516104343,0.00219124945356072,10.5135306530065
90,NaN,NaN,NaN,81.4289254285433,NaN,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00201293727717586,NaN,NaN,NaN
100,5.77134374752523,0.0303464414293361,0.00737545505170601,72.1185132415911,24.614903537093,799.299506180347,22.642471155427,0.0019790558799267,0.0020479481587518,0.00199924697748248,11.2040094981296
150,5.84853631861894,0.021854157948511,NaN,87.9027757808261,15.2039624589837,581.350109051361,29.6882437411184,0.0012827690740117,0.00129907344276779,0.0013332144114021,13.9306529186225
200,NaN,NaN,NaN,94.8434723085002,9.85999026171102,435.106341866581,31.2912092799991,0.00105599169530245,0.000813407884874796,0.000975170768956229,12.4293832393142
250,NaN,NaN,NaN,103.781280975366,8.75287281073227,325.65874171909,28.1263095577483,0.000971772798973952,0.000865699575160838,0.000986721505868148,11.0719446508428
300,NaN,NaN,NaN,102.121094979001,10.6528629419401,273.947111512904,24.0326429700649,0.00090185181561119,0.000856374774393281,0.000827472557027744,8.82562587175542
