t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs
0,5.96250820931734,-0.00041985508995246,-4.03941210924248e-05,-0.00447091815134274,126.175896610632,0.484815821959916,18.2426381764423,-3.52269460830444e-05,7.38640275212188e-06,7.4008027237588e-05,-0.00188482413314215,-0.118026300034831
4.5,NaN,NaN,0.249297593818569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,5.06644341188078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.00326324972678711,NaN
7.5,NaN,NaN,NaN,NaN,NaN,NaN,28.2663494237073,NaN,NaN,NaN,NaN,0.472205846350391
8,NaN,0.267348282697409,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,71.2996581995562,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,NaN,0.114857901853374,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.153880386505122,NaN,4.25823914411053,NaN,NaN,0.000295897263305419,NaN,NaN,NaN
15,5.12318211981196,0.128980276191618,0.0439098794760947,NaN,NaN,NaN,80.267346591963,0.000681256543404286,NaN,0.000323771693901889,-0.000915011381616042,0.341027386285173
20,4.7802059280495,NaN,0.0278872438432223,0.181568988398636,71.5988566497682,11.2958302009003,119.179148685738,NaN,NaN,NaN,0.00208336563882461,NaN
25,NaN,0.0717299926847363,0.0191195086640369,NaN,78.2754350332384,NaN,NaN,NaN,0.00117305819448095,0.0011427415923915,NaN,1.09201804833617
30,5.81315089841235,NaN,NaN,0.194050220025573,NaN,NaN,368.198743293546,0.00133719776331315,NaN,NaN,0.0103227587206242,1.63393285865442
35,4.79882537314572,0.0575050312617529,0.00614029310151042,NaN,67.0347779474954,19.0763350900705,NaN,NaN,NaN,NaN,NaN,NaN
40,NaN,NaN,0.00138566085984999,NaN,NaN,NaN,508.101474556648,NaN,0.00163418097624018,0.00146793972813002,0.0209038639738206,2.1477196120052
45,6.13717907861383,0.0351081561518984,NaN,0.258006471236163,NaN,21.6998660583327,NaN,0.00145131615868591,NaN,NaN,NaN,NaN
50,NaN,NaN,0.0029270392244394,NaN,71.9865893589043,NaN,608.614401674984,NaN,NaN,NaN,0.0254249004530768,4.26324070628553
55,4.88312818379439,0.0350382703205767,NaN,0.297770360588086,NaN,NaN,NaN,NaN,0.00162562489731323,0.00183527274669078,NaN,NaN
60,NaN,NaN,NaN,NaN,66.0139827539763,21.563158246961,626.644585145031,0.00180861767251723,NaN,NaN,NaN,NaN
65,NaN,NaN,0.00167505587914035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0402989507168033,5.96698529658034
70,5.50462313969986,0.0210156183067338,NaN,0.301815846975507,NaN,NaN,628.64742487644,NaN,0.00192513307499358,0.00183338966979619,NaN,NaN
75,NaN,NaN,NaN,NaN,83.1156522691374,20.7926394867712,NaN,NaN,NaN,NaN,0.0497622230516211,6.83920485521335
85,5.94478890515278,0.0249481042331009,NaN,0.321620772561286,NaN,NaN,634.607779600674,0.00157554167201179,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,84.8890155123821,NaN,NaN,NaN,0.00157983071383869,0.00150593062838859,NaN,NaN
95,NaN,NaN,NaN,NaN,NaN,18.5260991623534,NaN,NaN,NaN,NaN,0.0582545241253922,8.22505007883047
100,5.78999585926622,0.0205926991994535,NaN,0.310635569134923,85.4959857790219,18.2078698010397,591.182021440048,0.0015182110926183,0.0016673658386606,0.00154166677245718,0.059809240507029,8.83834762871936
150,NaN,0.00928248332472868,NaN,0.301831233287984,98.065946820067,13.3779019333353,464.519434003402,0.00102789251216389,0.00104937770537229,0.00100412679960897,0.0713020099782233,9.93401627148743
200,NaN,NaN,NaN,0.296478459193941,106.637406449555,9.42148440234711,264.47766399399,0.000764735525124329,0.000849277014082634,0.000727147029514577,NaN,NaN
