t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1Act_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3RNA_Obs,Compound_1_Obs
0,5.2258255539776,-0.00810162478500456,-0.00751836593020647,0.00372170130478119,132.967313337556,1.1230640226273,58.8548882231313,2.91896887434715e-05,-3.84590907571063e-05,-3.90053997491216e-05,-0.000346507986672832,-0.813775828329938
4.5,NaN,NaN,0.337658658886371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,4.45364328672849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0827581127544194
7,NaN,0.63448919187187,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.5,NaN,NaN,NaN,NaN,53.9238758327548,5.8566325974558,-26.239995250943,NaN,NaN,NaN,NaN,NaN
9,NaN,NaN,NaN,0.054091643099279,NaN,NaN,NaN,NaN,NaN,NaN,0.00155446307736096,NaN
9.5,NaN,NaN,0.467614098796559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,4.08026129686444,NaN,NaN,NaN,NaN,NaN,NaN,0.000562619468405854,0.000228575493002598,0.000298472907766815,NaN,NaN
15,NaN,0.270544901868322,0.197918951076009,NaN,43.3292729768834,14.5190643732041,97.7224684626175,NaN,NaN,NaN,NaN,1.13535280228161
20,5.31257572774709,0.205724350100491,0.107337288443375,0.108257040469166,NaN,NaN,NaN,NaN,0.00126019399834342,NaN,0.00328119974850826,1.04048137409053
25,5.14873009783588,NaN,0.059173678559995,0.124506473194942,44.3478411758502,23.0092694564487,253.764707252232,0.00160860698165005,NaN,0.00141575191092395,NaN,1.97528797764965
30,NaN,0.144428198160648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0149931113343258,NaN
35,5.12119712730119,0.115721024438201,0.032424562413934,0.129199592640321,53.1785194667733,24.8298467816165,540.299285520914,0.00206957983706049,0.0019800368477787,0.00214646880203127,NaN,3.90608579318654
40,5.95253620557123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0255692468650185,NaN
45,NaN,0.0978106311300249,0.0293922317852235,NaN,46.9829504631097,26.6759528224896,711.487903776056,NaN,0.00224257803286386,NaN,NaN,4.72606646999823
50,5.37104914864933,NaN,NaN,0.146564587984483,NaN,NaN,NaN,0.00260111926238409,NaN,0.00238146325468832,0.0387005744885795,NaN
55,NaN,NaN,0.0115277428289977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.55115526641383
60,NaN,0.0533348377114837,NaN,0.158120748429474,48.2755307364862,27.7546686028129,817.526498216728,NaN,0.00260396148327203,NaN,0.0534527969432892,NaN
65,5.87882315867665,NaN,-0.00114029278197308,NaN,NaN,NaN,NaN,0.00225958788373173,NaN,0.00238259491504893,NaN,8.18945252209885
70,NaN,0.048752452328518,NaN,NaN,64.7865493611874,29.3908526553331,889.100586629875,NaN,NaN,NaN,NaN,NaN
75,5.82118925754238,NaN,NaN,0.161334753669576,NaN,NaN,NaN,NaN,NaN,NaN,0.0675190372308607,NaN
80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00225684287327706,0.00224874223640362,0.00225813767563779,NaN,10.3133558961085
85,NaN,0.0489233215263183,NaN,NaN,59.9908344834491,26.6471262934497,833.300626108098,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0782898300460277,NaN
95,5.4592434875635,NaN,NaN,0.164689255402912,NaN,NaN,NaN,NaN,0.00220120761544133,NaN,NaN,11.3257304769027
100,5.81858948750538,0.033688202121961,NaN,0.165817740409746,65.7156390927893,26.4397497393648,845.288241561306,0.00209128327680637,0.00212950589636234,0.00198844534812758,0.0838282490884717,12.0327717521846
150,NaN,0.0173710723785313,NaN,0.161398126002778,96.0954424244039,16.3643334843457,438.758429023363,0.00129673363865237,0.00124608007061394,0.00146202794148886,0.0974460085025201,13.7123772955742
200,NaN,NaN,NaN,NaN,96.889504931377,10.1200313443268,439.642787501464,0.000945078171282028,0.00104905855584495,0.000967895844277367,NaN,NaN
