t,p12EpoRpJAK2_Obs,CISnRNA2_Obs
0,-0.00628147888274317,-29.6198116962641
4,0.834495628613784,NaN
8,0.413307615821438,NaN
8.5,NaN,94.3699466624515
10,0.246327304295653,NaN
15,0.111695704032252,253.332929727075
25,0.0316009488376065,539.8208838101
30,0.027792514924971,NaN
35,0.0332695230389823,909.545874566998
45,-7.6283318715141e-05,1079.534407392
55,0.0142587553494611,1101.4695655278
70,NaN,1179.6488572766
85,NaN,1163.14521662252
100,NaN,1113.48166925314
150,NaN,735.924463422358
200,NaN,555.918522523035
