t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,SHP1_Obs,SHP1Act_Obs,STAT5_Obs,pSTAT5_Obs,npSTAT5_Obs,CISnRNA1_Obs,CISnRNA2_Obs,CISnRNA5_Obs,CISRNA_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,SOCS3nRNA4_Obs,SOCS3nRNA5_Obs,SOCS3RNA_Obs,SOCS3_Obs,CISnRNA4_Obs,Compound_1_Obs
0,5.92345872721033,-0.00913250415360196,-0.00172055445416932,24.5281455059013,0.0135467548859607,117.118600421848,-0.826505722117105,1.6810200179965,20.0799185008693,15.588185209448,-12.5987671305773,-0.0110812929366733,2.96509429434383,-0.000209236093381698,4.74709170161936e-05,0.000125824282202892,9.87165110653845e-05,5.97256379476961e-06,0.0037788892989918,0.172786758032813,-21.9838324593412,-1.22672163813172
15,4.50435197882895,0.271088759272858,NaN,NaN,NaN,NaN,NaN,NaN,190.328353212817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,0.100818705754634,21.6541377185255,NaN,NaN,70.0707414434652,NaN,NaN,278.772639710459,-12.5797952312548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.1018601011428,NaN
25,5.06941386520856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00741802455675401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.0383877885218,NaN,NaN,NaN,0.0281498503130782,NaN,NaN,0.00178461966224434,NaN,0.00175938831702011,0.00170098354081921,NaN,NaN,NaN,NaN
35,NaN,0.119224786249269,NaN,26.6865490881459,NaN,41.8432083881818,NaN,NaN,692.54246533257,NaN,NaN,NaN,NaN,NaN,NaN,0.00198499751508357,NaN,NaN,NaN,NaN,NaN,NaN
40,5.10781446272966,NaN,0.025087963869441,NaN,NaN,NaN,60.3775937111348,NaN,NaN,NaN,NaN,NaN,NaN,0.00223253191607819,NaN,NaN,NaN,NaN,NaN,NaN,399.282486868279,4.28305350272892
45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,757.133794973603,358.445295596679,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.54954836215281,NaN,NaN
50,NaN,NaN,NaN,NaN,0.15774119712397,NaN,NaN,NaN,807.018545119499,NaN,NaN,NaN,2.16005170067879,NaN,NaN,NaN,NaN,NaN,0.0369708240662031,NaN,NaN,NaN
55,5.46558770042092,0.0581453505475155,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,22.9555665964409,NaN,NaN,50.9407242453322,28.3461084137434,NaN,NaN,NaN,0.118982034113174,NaN,NaN,NaN,NaN,NaN,0.00245218583874454,NaN,NaN,NaN,NaN
65,NaN,NaN,0.00657029162716075,NaN,NaN,NaN,NaN,NaN,NaN,841.626837416274,720.253869027961,NaN,NaN,NaN,0.00249091515758703,0.00233097033155277,0.00233668224721284,NaN,NaN,NaN,758.841777483373,NaN
70,NaN,NaN,NaN,NaN,NaN,54.5519112159515,NaN,NaN,898.24033623662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,5.93249283889842,0.0317912476636247,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11.7264944014707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
80,NaN,NaN,NaN,22.4798348631653,NaN,NaN,42.4660330717864,NaN,NaN,NaN,NaN,NaN,NaN,0.00220332963947748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.9643205711661
90,NaN,NaN,0.00451016900361707,NaN,NaN,NaN,NaN,25.5873778876567,743.477920536443,787.79762298682,840.677322883224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.61330188318214,805.906611951509,NaN
95,5.14779734424611,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.150557685446164,NaN,NaN,NaN,NaN,NaN,0.00209205438936983,NaN,NaN,NaN,NaN
100,5.25327078903303,0.0316383285906971,0.00322284075380306,24.3608191503371,0.170354394326968,61.4533748649833,34.1527608708391,NaN,773.344363540603,828.085085233145,827.044978029011,NaN,21.2322476621815,NaN,0.00213868997096132,0.00186024718520143,0.00203622957794091,NaN,0.0874432989893535,NaN,864.733666093491,12.0293544943111
150,5.57782876671835,0.0336930064818067,0.00379246959315423,24.0506906732886,0.176959932416466,94.6396347489755,25.9772777041201,17.5540162557202,452.228077459867,581.166891219293,582.606096313154,0.116612280314857,31.1529026887169,0.001314785599608,0.00132733021265443,0.00128045689799236,0.00124454942151834,0.00130569778905803,0.100424952173776,13.628894083984,633.427036490783,13.0463826210022
200,5.90465043202641,0.029429657082798,0.00511248406008488,NaN,0.16360060006411,105.556850308646,20.2751051396629,11.085236228178,302.567970411247,427.070201274492,392.947427558496,0.0799541354036761,29.3192597729167,0.000872523395854078,0.000949148945606278,0.000903471482543766,0.00104568947157562,0.000992055873454594,0.0950512748518454,11.7292594373461,435.162014609894,12.8890227700346
250,5.39127118512728,0.0356156798459919,NaN,NaN,NaN,99.430620611111,17.1518938312581,10.0728290397506,352.109202823001,380.573088729401,368.458162269329,0.0531171793696716,28.6063543828461,0.000719697307687703,0.000841633815255,0.000854444850351599,0.000786464131022208,0.000873550604263216,NaN,10.024567679926,303.248727709601,11.0866286736186
300,NaN,NaN,NaN,NaN,0.18230637583008,109.630168454038,17.3249744556197,10.0127655333142,297.010985006236,260.21156417241,268.34059242161,0.0516309866081213,24.608348001357,0.000828961209314607,0.000769571842301945,0.00085207036021093,0.000760612444465926,NaN,0.0622433828749029,8.50515792078688,289.360707762313,NaN
350,NaN,NaN,NaN,NaN,0.189207243346071,87.9919428525759,18.7958818206328,NaN,NaN,347.939715580273,307.199593223958,0.0515011102988335,NaN,NaN,0.000865747830826936,0.000825216592688359,NaN,0.00100086187444177,0.0660674848625856,NaN,318.676963520204,8.10418464664197
400,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.4171602977919,NaN,NaN,NaN,NaN,20.5965957603813,0.000840826522140746,NaN,NaN,0.000900008540614299,0.00105375392625295,NaN,9.18138605275444,NaN,8.61434653745558
450,NaN,NaN,NaN,NaN,0.17458620068272,88.6692310373465,NaN,NaN,NaN,NaN,NaN,0.0560098107139931,21.7718589087517,NaN,0.000946399746747752,0.00101017100440559,NaN,NaN,0.0646427262106801,NaN,NaN,NaN
500,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.89994639407005,NaN,NaN,NaN,NaN,NaN,0.000847749690189951,NaN,NaN,NaN,NaN,NaN,8.28110897286611,NaN,8.15006879872972
550,NaN,NaN,NaN,NaN,0.182704208625038,93.1913115641063,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0592252852183542,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.28190343824613,NaN,8.48482697248589
650,NaN,NaN,NaN,NaN,NaN,91.9022094888603,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
700,NaN,NaN,NaN,NaN,0.202749178149814,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0614522589837531,9.02475124966885,NaN,9.18918540374299
850,NaN,NaN,NaN,NaN,0.172265663849837,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.057983166838735,8.37854722372635,NaN,7.73334921789561
