t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,5.399343296592,0.000226640956706368,7.21251729599672e-05,123.126301933216,0.0058771598208901,0.823585824557684,0.0186922643795674,-6.9488535747341e-07,1.25729117850631e-07,4.79849637742604e-07,192.750281930374
9.5,NaN,NaN,0.00114617207783697,NaN,NaN,NaN,NaN,NaN,NaN,NaN,153.350921487635
10,5.36870392407304,0.0214113349058941,NaN,131.339830327171,NaN,-0.308206045371396,NaN,-5.26180521056599e-07,-6.555228190329e-07,-7.37338900535677e-07,NaN
15,NaN,NaN,NaN,NaN,0.0486573715567011,NaN,-0.00776750961017987,NaN,NaN,NaN,NaN
20,5.16350325734322,0.0424094994653478,0.00405406182870494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,201.758381846774
25,NaN,NaN,NaN,132.462902432751,0.130888365531008,1.27221913093247,NaN,5.98080583845811e-06,7.44999276210273e-06,6.43878385368429e-06,NaN
30,NaN,NaN,0.00359143040875844,NaN,NaN,NaN,0.00590326610474836,NaN,NaN,NaN,208.319772780795
35,5.7429291639736,0.0220693809252383,NaN,121.006643633743,NaN,NaN,NaN,1.67111816929299e-05,1.53089271190276e-05,1.69508173997933e-05,NaN
40,NaN,NaN,0.0017350760488242,NaN,0.2855529056698,4.36950294966842,NaN,NaN,NaN,NaN,156.442198881051
45,5.57421308663598,0.0122665717942633,NaN,NaN,NaN,NaN,-0.0267930469997662,NaN,2.41853841459494e-05,NaN,NaN
50,NaN,NaN,NaN,140.142024609081,NaN,6.33974581730053,NaN,2.79650402341192e-05,NaN,3.03795518937006e-05,185.615303050652
55,NaN,NaN,0.0006943789276087,NaN,0.355062589070253,NaN,NaN,NaN,NaN,NaN,NaN
60,5.4768437442767,NaN,NaN,119.515366606549,NaN,NaN,0.0487308086904086,NaN,3.00297615818863e-05,3.18632175309079e-05,NaN
65,NaN,0.00818737702189881,NaN,NaN,NaN,8.70986724572238,NaN,3.73797912024362e-05,NaN,NaN,172.360432521198
70,NaN,NaN,0.000446030373914149,NaN,0.475757008176254,NaN,NaN,NaN,NaN,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.75363796563707e-05,4.33394458537099e-05,NaN
80,5.52636679312787,0.00838963449018553,NaN,128.941433228868,NaN,NaN,0.114370333443794,4.10536336462537e-05,NaN,NaN,190.125364676783
85,NaN,NaN,0.000449015613568203,NaN,NaN,13.3477003807923,NaN,NaN,NaN,NaN,NaN
90,NaN,NaN,NaN,NaN,0.491635406061634,NaN,NaN,NaN,NaN,NaN,NaN
95,NaN,NaN,NaN,124.778936516164,NaN,NaN,NaN,4.27978063129648e-05,4.2116337023984e-05,4.35418056564897e-05,201.475640519003
100,5.93918831816136,0.00538344613162444,0.000305525354841075,115.035813460992,0.505326980320425,14.9392820298365,0.192277016955502,4.00992610273161e-05,4.30482014442501e-05,4.152157755836e-05,165.098008103855
150,5.93011674522604,0.00468643192508141,0.000175553897034329,116.797031377167,0.547179065955603,15.9290997618521,0.509477719908248,4.34758074998471e-05,4.06740863250137e-05,4.32295888971573e-05,177.383123259286
200,5.69799025117809,NaN,NaN,127.453429118703,0.483373211896577,15.2767867848926,0.668804098607472,4.09041592803478e-05,4.09352015308505e-05,4.13154359847796e-05,186.208508990712
250,NaN,NaN,NaN,116.195681622689,0.47241899214641,13.9247382575894,0.761291993540005,3.99153545418953e-05,3.67568659952385e-05,3.52874843553829e-05,NaN
300,NaN,NaN,NaN,129.58835936448,0.438615697269639,13.2739159537438,NaN,3.58887050670097e-05,3.92407467025413e-05,3.6008172551206e-05,NaN
