t,EpoRJAK2_Obs,p2EpoRpJAK2_Obs,p12EpoRpJAK2_Obs,STAT5_Obs,npSTAT5_Obs,CISnRNA2_Obs,CIS_Obs,SOCS3nRNA1_Obs,SOCS3nRNA2_Obs,SOCS3nRNA3_Obs,Compound_1_Obs
0,5.38051417723086,0.00144153905428363,2.09489781506327e-05,124.831532516626,-0.0371404403600327,0.621947692296737,0.0218613868659783,-4.17733844948702e-08,-6.44175001677776e-08,4.06889134722504e-07,152.862781411148
8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,173.96789485628
9,NaN,NaN,0.000723025586305708,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5,NaN,0.0186402203796792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,5.12179780856167,NaN,NaN,130.463657945063,NaN,-0.579235815686998,NaN,-3.30903481330518e-06,4.77789232184097e-06,2.86938865882155e-06,NaN
15,NaN,NaN,NaN,NaN,-0.0142648616089595,NaN,-0.0121385265974466,NaN,NaN,NaN,202.289500287114
20,5.60053268907991,0.0404791411146262,0.00421159780840754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,NaN,NaN,NaN,114.627026406045,NaN,0.868817513721919,NaN,1.1205328933244e-05,8.52432988185208e-06,6.4900309133439e-06,166.965248177652
30,5.68725442685622,0.0274534929898104,0.00347833889876546,NaN,0.203871143893412,NaN,-0.0107831284456451,NaN,NaN,NaN,NaN
35,NaN,NaN,NaN,128.8294651685,NaN,2.66592550526933,NaN,1.73998107425611e-05,1.62208104832614e-05,NaN,210.701458756182
40,5.15532878558632,0.0178629540070267,0.00183061248900017,NaN,NaN,NaN,0.00940095788691079,NaN,NaN,2.3044886945231e-05,166.498419946901
45,NaN,NaN,NaN,119.528308662051,0.340330000543179,NaN,NaN,NaN,NaN,NaN,NaN
50,NaN,NaN,0.00109382600455767,NaN,NaN,6.58790243831927,NaN,2.94594965662392e-05,2.50541012348562e-05,2.76917495496853e-05,170.898515308262
55,5.93241691205646,0.0104375055237423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,125.362650764726,0.388478530607907,9.39602472734065,0.00835967815887873,NaN,NaN,NaN,NaN
65,NaN,NaN,0.00056023842295132,NaN,NaN,NaN,NaN,4.05774933900619e-05,3.40262489495009e-05,NaN,176.545040562045
70,5.72927746534015,0.00635973960549277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.7240339816452e-05,NaN
75,NaN,NaN,NaN,137.214318983477,NaN,12.7024164752714,0.102184320256395,NaN,NaN,NaN,189.281983431759
80,NaN,NaN,NaN,NaN,0.499126685625116,NaN,NaN,4.2033046756116e-05,NaN,NaN,NaN
85,5.6471777756822,0.00680857579269448,0.000360198008408351,NaN,NaN,NaN,NaN,NaN,3.63906069700491e-05,3.72406317157398e-05,NaN
90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,179.726761257259
95,NaN,NaN,NaN,122.716227383061,NaN,14.7525800356903,0.194721528175646,4.30065915043768e-05,NaN,NaN,NaN
100,5.50784988389172,0.00533970817047117,0.000297943377721508,128.648748176819,0.533951349804325,15.4957749341013,0.25058463454057,4.57861190392769e-05,4.07877976560419e-05,4.00504818426921e-05,186.114125858626
150,6.26177068878523,0.004770310605539,NaN,130.223569628071,0.520452284645957,17.4270543564694,0.478979348936179,3.99585724668982e-05,4.24359931205134e-05,4.35942830335295e-05,182.50534183054
200,5.80868074562838,NaN,NaN,132.961819733515,0.485474667013414,15.313495242845,0.685317679619552,4.15721317297458e-05,4.18309227848105e-05,3.8311378890424e-05,NaN
250,NaN,NaN,NaN,119.342118671439,0.444547086654763,12.7306345619685,0.769181031237429,3.76089214121807e-05,3.59228922582286e-05,3.72318876146074e-05,NaN
300,NaN,NaN,NaN,128.357712177992,0.490271203913532,13.067124866408,0.819874470195284,3.64677834817402e-05,3.77326308887982e-05,3.71074831035734e-05,NaN
