t,epo_level,p12EpoRpJAK2_Obs,CISnRNA2_Obs
32,2.5e-09,0.0866311085749769,49.5258803115714
32,2.5e-09,0.0933714444165509,76.0915674123579
32,2.5e-09,0.0938000822152076,72.4618236438717
32,2.5e-08,0.0623985780548197,190.029534914467
32,2.5e-08,0.0633220740338418,121.597449573281
32,2.5e-08,0.0662239255392406,155.006771475806
32,1.25e-07,0.0349984395833323,526.701291207891
32,1.25e-07,0.0377336396284379,490.809074489775
32,1.25e-07,0.0378885084026984,499.833805875443
32,2.5e-07,0.0298464641055112,681.575718866802
32,2.5e-07,0.0334388651549778,695.103998074314
32,2.5e-07,0.0347479397518983,689.129606124402
32,1.25e-06,0.01539827642644,813.439258184615
32,1.25e-06,0.0187314359442788,829.451317145319
32,1.25e-06,0.0231871925026394,807.864419501205
32,2.5e-06,0.0158898160657124,845.589069446881
32,2.5e-06,0.0161290635401599,875.701382180325
32,2.5e-06,0.0222969455386379,872.962330227773
