t,STAT_Obs,pSTAT_pSTAT_Obs,nSTAT3_Obs
0,0.612828790367837,0.00112285762118858,0
4.5,NaN,0.541990052886613,NaN
5,NaN,NaN,0.0874016544560523
8.5,0.00770866047468766,NaN,NaN
9.5,NaN,0.18004639275162,NaN
10,NaN,NaN,0.399696412768241
15,0.0554752052560182,0.235891619210524,0.243484137021045
20,NaN,0.217756848206601,0.159935542147868
25,0.0413556232517114,0.169656876345984,0.324864944611895
35,0.146812290739717,0.229193364600282,0.557091666063722
40,NaN,NaN,0.137035606326735
45,NaN,0.0987285069996538,NaN
50,0.585770693234405,NaN,0.0896847767863667
60,0.526897987759737,NaN,0.0336360303703389
75,1.34553774759943,NaN,0.00665739344764063
85,NaN,NaN,0.00101466552681836
95,0.983797447953009,NaN,NaN
100,0.785574534369066,NaN,NaN
150,0.852980593612994,NaN,NaN
200,0.736984398695135,NaN,NaN
