t,Compound_2_Obs,Compound_3_Obs,Compound_6_Obs,Compound_7_Obs
0,2.57374662225089,2.83225086847821,6.18932780848743e-18,2.13458727523639
10,4.25485115405632,NaN,4.26949181798176e-18,0.605440929065596
15,NaN,3.5058482202601,NaN,NaN
20,NaN,NaN,1.84459364541293e-17,NaN
25,4.3156561062158,2.84406578574553,NaN,0.74511514139482
35,NaN,NaN,1.08712475936507e-17,NaN
40,3.077846711246,3.85737370882327,NaN,1.02614776581934
45,NaN,NaN,2.29480792499629e-17,NaN
55,7.20177376446494,3.10905988044815,NaN,0.831776504772353
60,NaN,NaN,1.02923266019577e-17,NaN
70,3.11529262999647,NaN,NaN,0.645881426789177
75,NaN,1.63822750954537,NaN,NaN
80,NaN,NaN,5.88505884147255e-18,NaN
90,3.14685502987268,NaN,NaN,NaN
95,NaN,NaN,NaN,1.16954562489518
100,NaN,2.4156643822399,NaN,NaN
