t,Compound_5_Obs,Compound_8_Obs,Compound_9_Obs
0,63.3983371668336,0.803118566645692,4.85373818363519
25,97.2656483528565,NaN,NaN
35,NaN,4.9682660327265,NaN
40,NaN,NaN,2.81627362725993
55,51.7053333250139,NaN,NaN
70,NaN,8.88137508230464,NaN
75,NaN,NaN,4.89607831720632
80,108.134185989417,NaN,NaN
100,66.9530728836317,6.85470583237273,3.83990851211626
150,84.5451126001743,3.27000479838701,4.61709073714366
200,105.170358485084,5.74478911370854,4.88671486720573
250,108.382001180347,4.15347411210948,5.7673030646549
300,153.287746494993,3.92723269414168,NaN
350,NaN,1.96765282290976,2.38583366520272
400,102.97642156914,NaN,5.54806769878666
450,171.061675608469,0.604836324227544,NaN
500,NaN,NaN,2.95505621992008
550,89.5489967437164,0.952209254364519,NaN
650,NaN,1.81815147191392,3.40941464638839
