t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
72,0,0.00455783227949466,0.000578409717306681
72,0,0.00414836445137235,0.00054159385035892
72,0,0.00351839796501745,0.000589202839559456
72,0,0.00395431136660763,0.000657258023105334
72,0,0.00407926705041019,0.000844382751377797
72,0,0.00549654224593381,0.000559032839403218
72,0,0.00310805146081012,0.000669202775045456
72,0,0.00571325493632895,0.000527430292857856
72,0.0005,0.0056494031366436,0.000643101845090535
72,0.0005,0.00425631910833899,0.000500300130463018
72,0.0005,0.00381194071196883,0.000521948406169092
72,0.0005,0.00448115861701311,0.000814735559321118
72,0.0005,0.0036201561216709,0.000572035349923121
72,0.0005,0.0039621836290026,0.000866823657876045
72,0.005,0.00381885535760117,0.00043178667156597
72,0.005,0.0042922995932686,0.000611878036182862
72,0.005,0.00368980691198906,0.000592974689156205
72,0.005,0.00426592555626564,0.000670166279369299
72,0.005,0.00343183995745755,0.00074686908652121
72,0.005,0.0056601597441863,0.000728139047749126
72,0.05,0.00341856052465982,0.000636155748018929
72,0.05,0.00352548455610235,0.000625817894614339
72,0.05,0.0063903235452157,0.000821993252907527
72,0.05,0.00373877254553737,0.000481739192150998
72,0.05,0.00388171133706192,0.000629066858064143
72,0.05,0.00333253258925595,0.000598259561329952
72,0.05,0.00397141588469804,0.00053376222375017
72,0.05,0.00631460524906242,0.000872274137849833
72,0.1,0.00455583736693504,0.000729622640027802
72,0.1,0.0053051097212019,0.000705492236785177
72,0.5,0.0068615874416384,0.00142357294970962
72,0.5,0.00876068949232305,0.00188770347080051
72,0.5,0.00522327599053238,0.0013952728535467
72,0.5,0.00765494048280514,0.00144532080573219
72,0.5,0.00843064351735428,0.00178719772831171
72,0.5,0.00781833871200394,0.0012516735946038
72,1,0.00835908551644119,0.00265783054968843
72,1,0.00889631542480128,0.00314636036091366
72,1,0.00911537283595742,0.00146407586527999
72,1,0.00884972894700627,0.00204322043024771
72,1,0.00857359559364472,0.00208030402402381
72,1,0.0102650327111623,0.00189827315255451
72,2.5,0.0164295518983573,0.00421396171327757
72,2.5,0.0157490949464496,0.0044929305525402
72,5,0.0132483272719027,0.00488258414436215
72,5,0.0138894015925788,0.00314663642994673
72,5,0.020906226405165,0.0056953761316884
72,5,0.0139745530251175,0.0056537447404909
72,5,0.0197567392961869,0.00470648946341967
72,5,0.0223796275941147,0.00474576009202725
72,10,0.0311819248827592,0.00387753164179679
72,10,0.0211883451832491,0.00437549680967461
72,10,0.0102312440812109,0.00548489207860719
72,10,0.0096117587062684,0.00284728877283639
72,25,0.0367206117813181,0.00366124621027244
72,25,0.0232313246996298,0.00373372992011921
72,25,0.0300821714786343,0.00513882565179011
72,25,0.0253980892975392,0.0036339138496602
72,25,0.0174967117813726,0.00640632590512129
72,25,0.0147435903542169,0.00378372066216337
72,25,0.0159364827923818,0.00476353475053995
72,25,0.0120898696395078,0.00447308171635472
72,50,0.0138315088067156,0.00662479440748092
72,50,0.0155304773974912,0.00347484962677628
72,100,0.0112864334452454,0.00490265813054243
72,100,0.0131251704211711,0.0047902815908885
72,100,0.0125918568216468,0.00421418834521793
72,100,0.0111555114223372,0.00333025145991876
72,100,0.0143033435774748,0.00393022031651368
72,100,0.016806934299864,0.003357741591524
72,200,0.0157423784304677,0.00368128322590321
72,200,0.0134399671949586,0.00490290779549957
72,200,0.0193317540124946,0.00564991934696321
72,200,0.0330235700039167,0.00692847410942768
72,500,0.0297206832766765,0.00422655099213016
72,500,0.0357160964404798,0.00477655206165925
