t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000893058878361742,8.5045717765037,0.0153524461662554,0.0208385066418484
9.5,NaN,16.8200381188393,NaN,NaN
15,0.00500246343110521,NaN,0.51376935948925,0.374396665754504
20,NaN,11.1128569063569,NaN,NaN
25,0.000587739344135482,NaN,0.684057892944582,0.987598352285738
30,NaN,10.8689698949768,NaN,NaN
40,0.000220649949632346,6.01714830307616,0.275979872279742,0.500869275038289
55,0.000142778557193104,6.32772525700466,0.036281288773686,NaN
60,NaN,NaN,NaN,0.0284107407040445
70,NaN,5.77308864640243,NaN,NaN
75,0.000160424903178318,NaN,0.00168160655750889,0.00322697429460972
85,NaN,8.96685527555129,NaN,NaN
95,NaN,NaN,0.00105116019665317,NaN
100,0.000235360352672608,4.36325019604667,0.00127005913433479,0.000479962793451862
150,0.000385724411327717,7.78246636365471,0.00276840829163656,0.00340187442303079
