t,JAK1_gp130_Obs,pJAK1_pgp130_Obs,SOCS3RNA_Obs
0,0.592095981352311,0.0044671177935925,0.000664867091626956
10,0.509673308679276,0.00411739240495825,0.000614481264204856
20,NaN,0.00481176375672712,0.000790036768911664
25,0.614086401308955,NaN,NaN
30,NaN,NaN,0.000667954851386963
35,0.73025801130772,0.00499629020574254,NaN
45,NaN,0.00364061264149252,0.000494974762590796
50,0.744269465723348,NaN,NaN
55,NaN,NaN,0.000568311139754547
60,NaN,0.00339644739117634,NaN
65,0.421362539380266,NaN,NaN
75,NaN,NaN,0.000523029352067076
80,NaN,0.00524353834375317,NaN
85,0.520979811570546,NaN,NaN
90,NaN,NaN,0.000551965461301628
100,0.429896891742388,0.00474827397259337,0.000501085258431211
150,0.477127982955399,0.00523024666988342,0.000588242354147852
