t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000645988541106749,9.05996499553468,0.0164375391823421,0.0135650896719313
9.5,NaN,NaN,NaN,0.0816914298894409
10,0.00309990319848577,17.3396245428626,0.235428087506789,NaN
20,0.000729726830490169,10.3416388707984,NaN,0.530198254013995
25,NaN,NaN,0.656006929480849,NaN
30,NaN,NaN,NaN,0.698482233785682
35,0.000391691812847061,7.82359938471761,0.328352040244878,NaN
40,NaN,NaN,NaN,0.244809957010146
50,0.000127996623647122,5.89008755251039,0.0469036348887565,NaN
55,NaN,NaN,NaN,0.0385441178969143
65,0.000118496972528103,4.91803755550793,0.00389585506550493,NaN
70,NaN,NaN,NaN,0.0047675596368194
85,0.000200518721782513,3.79001226692355,0.00132396760603846,0.000365424678349659
100,0.000274639946894924,5.08957700094929,0.00170539955118926,0.000446705088719938
150,0.000467742525235629,6.41581323633496,0.00386238107133386,0.00300245204288807
