t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000828511015412374,6.70935407063988,0.0155655768735126,0.00882033768083126
9.5,NaN,NaN,0.0087934336920848,NaN
10,0.0454836187796506,20.0594064236598,NaN,0.0103146346872302
20,NaN,14.9417388375598,0.00360667076958497,NaN
25,0.0843445494883394,NaN,NaN,0.0020466521722966
30,NaN,NaN,0.00194031348296195,NaN
35,0.0643260044115251,20.357599797966,NaN,0.0454674769140086
40,NaN,NaN,0.461915086864461,NaN
45,NaN,14.9612780075556,NaN,NaN
50,0.0369164982066797,NaN,NaN,0.806978142728631
55,NaN,NaN,1.02695940756005,NaN
60,NaN,10.1995532110571,NaN,NaN
65,0.0108074380412027,NaN,0.764387455837988,NaN
70,NaN,NaN,NaN,0.321683183959169
75,NaN,8.99740221821248,NaN,NaN
85,0.00513653444561791,NaN,0.144513469292372,NaN
90,NaN,NaN,NaN,0.0759258648169039
95,NaN,6.95636816816054,NaN,NaN
100,0.00577222244761566,11.5829622839094,0.0373923328633192,0.0323160262641185
150,0.0119350263527319,7.98956924664253,0.214200004958977,0.261982464622805
