t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000575557788230512,4.95152552050289,0.0136329220505077,0.0203478522464575
4,NaN,NaN,0.0152214309940529,NaN
5,NaN,NaN,NaN,0.014334533358627
8,NaN,NaN,0.0129055516078774,NaN
10,NaN,NaN,NaN,0.00936424112644001
15,0.0567333551348149,17.3946903400629,0.0039757596220671,0.00802101409048302
25,NaN,NaN,0.000767934413003573,0.00170313214135989
30,NaN,NaN,0.000298183749596464,0.00073734211456356
35,0.0577494393645198,15.1860774095236,0.000126022462315523,0.000458348877241394
45,NaN,NaN,2.54803282436373e-05,8.18250971145624e-05
50,0.0489156389158677,17.1683287090981,2.46353949219109e-05,NaN
55,NaN,NaN,NaN,1.43458607449347e-05
65,NaN,NaN,1.06018389052237e-05,NaN
70,0.0446765589643706,18.0560688808607,NaN,4.54417537652088e-07
85,NaN,NaN,NaN,2.27930189233843e-08
90,0.0392238340239295,21.0488397940529,NaN,NaN
100,0.0395821976612749,19.164721054573,NaN,NaN
150,0.0403195195741086,16.0319521950691,NaN,NaN
200,0.0311080223475621,13.8246951596663,NaN,NaN
250,0.0168114429578944,11.8835595848535,NaN,NaN
300,0.0177344257321161,19.814408185014,NaN,NaN
350,NaN,24.0780312289196,NaN,NaN
450,NaN,13.5295383026502,NaN,NaN
