t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000934287694516734,7.24038276814318,0.0146632829564829,0.0175912462750069
9,NaN,22.5233218367674,NaN,NaN
10,NaN,NaN,0.227484677690332,0.0470682097722902
15,0.000687574068557559,NaN,NaN,NaN
20,NaN,14.5458399838614,0.632384807642984,0.571617787991104
25,0.000751572788279514,NaN,NaN,NaN
30,NaN,5.70546651164534,0.488549406777802,NaN
35,NaN,NaN,NaN,0.270814167670419
40,0.000272463753859611,5.17484448922974,NaN,NaN
45,NaN,NaN,0.0823983438905674,0.0829596712974335
50,NaN,6.01791637058694,NaN,NaN
60,0.000234463892601469,NaN,0.00722967943060614,0.0208679328197588
65,NaN,8.30095049230434,NaN,NaN
75,NaN,NaN,0.00144944461743847,NaN
80,0.000292412392421529,7.55663396633216,NaN,0.000771294731857887
90,NaN,NaN,0.00209236174931278,NaN
100,0.000191087677521865,7.0059266771224,0.00205072444747592,0.000762645359285831
150,0.000660759494157792,NaN,0.00437573981652965,0.00261297853523355
