t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000981901123827505,7.45152507894327,0.01342966441744,0.0149500203505578,0.0158322698351106,0.133185733325162
8,NaN,NaN,NaN,NaN,NaN,0.180694625678091
9,NaN,21.151658564097,NaN,NaN,NaN,NaN
10,NaN,NaN,0.210196410321646,0.0483173072604965,NaN,NaN
15,0.000970150657947061,NaN,NaN,NaN,0.116775950401077,0.52041762968288
20,NaN,12.5894348446627,0.765167210777318,NaN,NaN,NaN
25,0.000557711110644483,NaN,NaN,0.443040792767612,NaN,2.21080329082764
30,NaN,8.02844333776066,NaN,NaN,0.425697266094098,NaN
35,NaN,NaN,0.218035876928389,NaN,NaN,3.48648491855375
40,NaN,3.77484032399544,NaN,0.258655788554261,NaN,NaN
45,0.000203930984391535,NaN,0.0679324349985796,NaN,0.156636330085312,4.46738141313174
55,NaN,6.79915338550243,NaN,0.0287830675880485,NaN,NaN
60,0.000194902433576766,NaN,NaN,NaN,NaN,0.786649529179897
65,NaN,NaN,0.00308533158645155,NaN,0.0180066539151729,NaN
70,NaN,4.52367243059438,NaN,0.00196721591091178,NaN,NaN
75,NaN,NaN,NaN,NaN,NaN,0.119123654438225
80,0.000362462909436942,NaN,0.00165731924895083,NaN,NaN,NaN
90,NaN,7.7442761077455,NaN,0.000789773129246876,0.000895840368718865,NaN
95,NaN,NaN,NaN,NaN,NaN,0.014857601553641
100,0.000366463567482584,6.87154637427313,0.00196501619802176,0.00101924460753433,0.000952026431072785,0.0170709631838576
150,0.000442942262027815,NaN,0.00748932123447983,0.00404480174876851,0.00362306468304625,NaN
