t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000832785993395374,8.42676393618791,0.0133406424195375,0.0178717137307464,0.0115102544155082,0.125755885695832
9,NaN,NaN,0.0457120815627503,NaN,NaN,NaN
9.5,NaN,15.4605007019587,NaN,NaN,NaN,NaN
10,NaN,NaN,NaN,0.0334618535031663,0.0165966908567543,0.222342332331259
15,0.0312459543372102,NaN,NaN,NaN,NaN,NaN
20,NaN,25.8764686558307,0.508581970751179,NaN,NaN,1.00122294514942
25,NaN,NaN,NaN,0.491290421429712,0.344961961619096,NaN
30,0.0278819762229522,15.90780117371,0.40784511376212,NaN,NaN,5.49360521245046
35,NaN,NaN,NaN,0.806861793304339,1.01562355802916,NaN
40,NaN,8.07169263499039,0.508177659096816,NaN,NaN,NaN
45,NaN,NaN,NaN,NaN,NaN,5.04904245940999
50,0.00520542331211027,NaN,0.187111074746612,0.337243235100622,0.441795585217803,NaN
55,NaN,8.96421981134205,NaN,NaN,NaN,NaN
60,NaN,NaN,NaN,NaN,NaN,4.37015760176841
65,NaN,NaN,0.0307914525297874,0.0811340902957498,NaN,NaN
70,0.00383096126024614,6.95439252463362,NaN,NaN,0.0820037391493591,NaN
75,NaN,NaN,NaN,NaN,NaN,0.948072727541727
85,NaN,NaN,0.0426304645300954,0.0323036048760547,NaN,NaN
90,0.00444996691931315,9.86431284182213,NaN,NaN,0.0394296916651307,0.271741320720768
100,0.00677491435774556,9.92422969954201,0.132608343389285,0.0824659223134932,0.0642059368169979,0.452121632395608
150,0.0102314984143094,12.6202752729201,0.0846297758273094,0.0830009360889338,0.104438014698487,1.54348676835551
200,0.00489145086529415,NaN,NaN,NaN,NaN,NaN
