t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000970831243579535,6.56160036373223,0.0132606512772791,0.0129644009677881
10,NaN,NaN,0.240727072134426,0.103567311896024
15,0.0490827178829562,16.2995604103261,NaN,NaN
20,NaN,NaN,0.743515300863217,0.697125856865172
25,0.0617601798240655,NaN,NaN,NaN
30,NaN,15.5694133342887,0.703971362730424,0.943301086369875
40,0.0127111981571873,NaN,NaN,NaN
45,NaN,9.10475600112116,0.463458762157604,0.555439459906227
55,0.00568577800346607,NaN,NaN,NaN
60,NaN,12.478221099792,0.0716840114662867,0.118133126547041
70,0.00747722893422988,NaN,NaN,NaN
75,NaN,NaN,0.0330443434354623,0.0238781549863799
80,NaN,13.4935775502845,NaN,NaN
90,0.00776922759157204,NaN,NaN,NaN
95,NaN,NaN,0.145475914603664,0.141560719241235
100,0.000132261600181997,14.2698733624711,0.190690022764866,0.22246011350169
150,0.000214713912161514,5.62924298812936,NaN,NaN
200,0.000302846089344244,5.4517428284552,NaN,NaN
250,0.000505650800405497,10.3881656873141,NaN,NaN
