t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000814718229921376,8.47131575850838,0.0150294262043739,0.0197709353081498,0.0137206832705603,0.127001492549842
9.5,NaN,NaN,NaN,NaN,0.0149840981578456,NaN
10,NaN,14.0927881551808,0.0448255996105792,0.0238923533270155,NaN,0.198821017846518
15,0.0206919970300114,NaN,NaN,NaN,NaN,NaN
20,NaN,NaN,NaN,NaN,0.0991289010889881,0.460445177723691
25,NaN,12.6922418364724,0.514308802505359,0.323185063827217,NaN,NaN
30,0.01058245425324,NaN,NaN,NaN,0.620987207152408,NaN
35,NaN,11.9673363862254,0.457825286365899,NaN,NaN,3.83435345551658
40,NaN,NaN,NaN,0.406752607338553,0.330497623127579,NaN
45,NaN,NaN,NaN,NaN,NaN,4.11672383247267
50,0.00657500453776474,7.86729920364579,0.195828805746151,NaN,NaN,NaN
55,NaN,NaN,NaN,0.240243863147896,0.246973784449834,NaN
65,NaN,8.74496275584688,NaN,NaN,NaN,2.0272990975847
70,0.00382100414509415,NaN,0.0381973188007281,NaN,0.094533947046347,NaN
75,NaN,NaN,NaN,0.0323430633772166,NaN,NaN
80,NaN,NaN,NaN,NaN,NaN,0.603561533146011
85,NaN,6.99569198712754,NaN,NaN,0.0276077892777249,NaN
90,0.0033644370683867,NaN,0.0516247736867078,NaN,NaN,NaN
95,NaN,NaN,NaN,0.0546745264366109,NaN,NaN
100,0.00276635495139427,8.96206235196066,0.0686148987906302,0.110046203040393,0.0546382074428751,0.420094289210887
150,0.00431527478292181,10.9539550897985,0.0987577949689112,0.0799809839344363,0.114097880510167,1.03960766884681
200,0.00427587772323361,NaN,NaN,NaN,NaN,NaN
