t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000795849839857928,8.45227718407056,0.0205023456715127,0.0132744668774356
9.5,NaN,12.3208547648629,NaN,NaN
10,0.0543658679508205,NaN,0.181080276347614,0.0664336190011844
20,NaN,16.8652022170561,0.840855292726241,NaN
25,0.017240178606847,NaN,NaN,0.664044801671116
30,NaN,7.76557357637685,NaN,NaN
35,NaN,NaN,0.762529905090344,0.707156644395185
40,0.000241959465748625,NaN,NaN,NaN
45,NaN,11.3151679843613,0.287874514541908,NaN
50,0.000159966444320491,NaN,NaN,0.231677007083065
55,NaN,7.63634471739742,NaN,NaN
60,NaN,NaN,0.0334264065605161,NaN
70,0.000129986658219814,6.21478861369454,NaN,0.0153554547270744
75,NaN,NaN,0.00336884310953085,NaN
85,0.000145484085165469,NaN,NaN,NaN
90,NaN,6.13854718525491,NaN,0.000610447002987759
95,NaN,NaN,0.00190564448222392,NaN
100,0.000209468643969168,3.76744756284227,0.00138143068798633,0.000210291286048487
150,0.000297842403020639,NaN,0.00199891697421464,0.00160961049418333
