t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
270,0.1,0.0019890139072609,0.000255039944008764
270,0.1,0.00207185492736968,0.000254270423656221
270,0.5,0.00317799643839406,0.00038905454282684
270,0.5,0.0029911513478144,0.000355114633458098
270,1,0.00414276013544653,0.00054684863380456
270,1,0.00460888433428744,0.000689315847572825
270,2.5,0.0119189080343662,0.0018346710815941
270,2.5,0.0135740931189616,0.00165847685320581
270,5,0.0462119452746785,0.00324755469882532
270,5,0.0203694145486253,0.00516801471461458
270,10,0.00491322613065351,0.00137924555764399
270,10,0.00776082531449714,0.00105752299171394
270,25,0.0170680445878784,0.00254457152103421
270,25,0.0148521997564072,0.00294097787607458
270,50,0.0079143402527625,0.00190615244165107
270,50,0.0065996783433681,0.00144096098456571
270,100,0.0402115453959776,0.00592656568510286
270,100,0.0195048256580723,0.00375395762449806
270,500,0.0532129713522117,0.00651160173260783
270,500,0.0319696961090296,0.00688713934637528
