t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
320,0.1,0.0047959269411964,0.00058257754072726
320,0.1,0.00347230715573825,0.000810742439923021
320,0.5,0.00648372031381097,0.00126744569184931
320,0.5,0.00542775143022916,0.00131884161873423
320,1,0.00552813576261902,0.0012072829638029
320,1,0.00615023006009573,0.00130821608354413
320,2.5,0.0198024665837996,0.00413178064951501
320,2.5,0.0158580945939648,0.00373209036425178
320,5,0.0487073791896401,0.00833313460275942
320,5,0.052574954791904,0.00794406669370419
320,10,0.0109616825727275,0.00164207645153689
320,10,0.00984359066459383,0.00220983070602658
320,25,0.0228909538002194,0.00461957961350965
320,25,0.0408972769692524,0.00540909232271018
320,50,0.0122852797687258,0.00304437232567707
320,50,0.0156184712359269,0.00254040759979136
320,100,0.0465568837312811,0.00515232388151301
320,100,0.046015236829585,0.00715714896786709
320,500,0.0552463687613504,0.00599362303985759
320,500,0.0473657190439776,0.0100859621819882
