t,tpSTAT3_Obs,nSOCS3RNA2_Obs,nSOCS3RNA4_Obs
0,2.37579330516538,0.017450560878525,0.011882328087028
9,NaN,NaN,0.110034784945565
10,11.0868263154289,0.68147429017836,NaN
20,16.3805104874385,0.990691206978783,0.757663475396568
30,7.74310374904887,NaN,0.961361430903725
35,NaN,0.426808098763916,NaN
40,NaN,NaN,0.769841029718125
45,3.87733654854455,0.205593588193324,NaN
55,NaN,NaN,0.207921684356767
60,2.68658019255562,NaN,NaN
65,NaN,0.0368738094931053,NaN
70,NaN,NaN,0.0472468974534961
75,6.62586150459586,NaN,NaN
80,NaN,0.0858040825418563,NaN
90,10.4922691494259,NaN,0.0907194519086336
100,9.89375663684432,0.437385376106432,0.324835519610559
150,8.94852120950407,0.197479764082825,NaN
