t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs
0,0.000735586053543157,8.26752504582794,0.010237545605587,0.0173964714479034
10,NaN,12.2900502706898,NaN,NaN
15,0.0103955961486107,NaN,NaN,0.0715780921158311
20,NaN,18.4967787871126,0.148602819994169,NaN
30,0.0100728464118092,9.95612367700082,NaN,0.38832445054159
45,0.00453570057889567,9.59446591340839,0.145141156535722,NaN
50,NaN,NaN,NaN,0.209922718312456
60,0.00376585236825689,12.6165833845714,NaN,NaN
65,NaN,NaN,0.0496008463738575,0.0715359716229879
80,0.00213178313373309,8.78055292866411,NaN,NaN
85,NaN,NaN,NaN,0.0386182419493961
90,NaN,NaN,0.050920915103488,NaN
100,0.0047573173726242,9.21448308862369,0.0479268174252827,0.0472122312488358
150,0.00534558862294725,8.55480419334427,0.0546376807422911,0.0679955809814706
200,0.00316781705446305,NaN,0.0680134104563912,0.091668670835536
250,NaN,NaN,0.0491965436885512,0.081441427008152
300,NaN,NaN,0.0709524117348469,NaN
350,NaN,NaN,0.0671128988956307,NaN
450,NaN,NaN,0.0782544847405487,NaN
