t,pJAK1_gp130_Obs,nSTAT3_Obs,nSOCS3RNA3_Obs,nSOCS3RNA4_Obs,nSOCS3RNA5_Obs,SOCS3_Obs
0,0.000924452013364956,9.06815774243196,0.0167514103438537,0.0159640003197965,0.0172056892591525,0.12621394147616
8,NaN,11.6926700990814,NaN,NaN,NaN,NaN
9,NaN,NaN,0.0929799305558474,NaN,NaN,0.143813502743219
10,0.058196847219117,NaN,NaN,0.0764462456678619,0.0223812335232329,NaN
15,NaN,15.4521273700248,NaN,NaN,NaN,NaN
20,NaN,NaN,0.831884570429507,NaN,NaN,1.21673143651671
25,0.00109153426652813,14.9686134924376,NaN,0.664705164986543,0.483228160566742,NaN
30,NaN,NaN,1.04601173764309,NaN,NaN,3.95332083901801
35,0.000483263334721975,6.32275899355228,NaN,NaN,0.586297324590906,NaN
40,NaN,NaN,0.465572487192742,0.455511759094852,NaN,9.87419426076716
45,NaN,8.56591403570995,NaN,NaN,NaN,NaN
50,0.000131173972731657,NaN,0.100385396917328,NaN,0.284040183360559,4.85165251178764
55,NaN,NaN,NaN,0.0781857740373626,NaN,NaN
60,NaN,4.02315343613688,NaN,NaN,NaN,NaN
65,0.000129866656449544,NaN,0.0143801571960466,NaN,NaN,1.34906988072881
70,NaN,NaN,NaN,0.0133370936644842,0.0503486614259465,NaN
75,NaN,5.901539453504,NaN,NaN,NaN,NaN
80,NaN,NaN,0.0011141183478046,NaN,NaN,NaN
85,0.000158999323215157,NaN,NaN,NaN,NaN,0.133543015404094
90,NaN,NaN,NaN,NaN,0.00107265410980617,NaN
95,NaN,5.78346895176641,NaN,0.000167057187026159,NaN,NaN
100,0.000227803287796546,3.63755423977946,0.000864054330514484,0.000173087441366775,0.000453779112393724,0.0246985652019518
150,0.000404010141193024,NaN,NaN,0.00168136189862657,0.00167358511009399,0.0314400796756589
