t,input_il6,pJAK1_pgp130_Obs,SOCS3RNA_Obs
59,0,0.00394863343275792,3.26201479863118e-05
59,0,0.00443514412372216,2.44658567351056e-05
59,0.5,0.00730659700842842,5.1584666216141e-05
59,0.5,0.00782226329050082,4.64395372143994e-05
59,1,0.00699814245279279,7.47373236440281e-05
59,1,0.01123368679481,0.000113053710723607
59,2.5,0.0193835724313991,0.000258515876723779
59,2.5,0.0292500667956166,0.000202364314850525
59,5,0.0403936034914301,0.000818656410713015
59,5,0.0535367291314752,0.000678459945104028
59,10,0.0574820837025247,0.00190056608888258
59,10,0.0790734111565586,0.00192400487942406
59,25,0.109305557003061,0.00495788680784567
59,25,0.110099982181201,0.00336671194816645
59,50,0.108638744267695,0.00390406414550357
59,50,0.170984646843475,0.00823912954124278
59,100,0.10978216638646,0.00976163612898199
59,100,0.128719860569607,0.00663877013125276
59,500,0.106878942661876,0.00692565277896951
59,500,0.160989114382642,0.00782799392900418
